episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2022.2380199432373, 2, 4.762321496000368, 179, 128158,                                             128158, 8173.4951171875, 2423.667236328125
2, -1604.5277786254883, 2, 3.575503281001147, 124, 128282,                                             128282, 8058.7314453125, 2424.2490234375
3, -2368.108651161194, 2, 5.7532856819998415, 206, 128488,                                             128488, 7314.6767578125, 2410.27587890625
4, -1394.775918006897, 2, 2.8981683069978317, 102, 128590,                                             128590, 7231.875, 2424.430419921875
5, -5444.84202671051, 2, 13.519446294001682, 486, 129076,                                             129076, 7659.03125, 2419.473388671875
6, -1813.5273694992065, 2, 4.139737334000529, 146, 129222,                                             129222, 8175.28759765625, 2404.572021484375
7, -1767.8853788375854, 2, 4.172379653999087, 147, 129369,                                             129369, 7856.02880859375, 2410.3212890625
8, -2127.1680088043213, 2, 5.031007663001219, 180, 129549,                                             129549, 7589.0859375, 2401.95556640625
9, -2035.1350774765015, 2, 4.7454416990003665, 171, 129720,                                             129720, 7921.95166015625, 2401.177734375
10, -1454.7977285385132, 2, 3.0513114059976942, 110, 129830,                                             129830, 7285.33056640625, 2402.0693359375
11, -3902.817035675049, 2, 9.166049841998756, 327, 130157,                                             130157, 8129.599609375, 2396.6259765625
12, -1770.6647939682007, 2, 4.026119161997485, 141, 130298,                                             130298, 7607.833984375, 2381.7822265625
13, -3618.233847618103, 2, 8.375861894000991, 298, 130596,                                             130596, 7521.61083984375, 2385.064697265625
14, -2643.789463043213, 2, 6.62542937499893, 236, 130832,                                             130832, 8225.6640625, 2376.10009765625
15, -1638.262466430664, 2, 3.6826980670011835, 132, 130964,                                             130964, 7735.7294921875, 2377.2607421875
16, -508.7901306152344, 2, 0.046987423000246054, 1, 130965,                                             130965, 9467.783203125, 2321.05224609375
17, -4618.2728061676025, 2, 11.130954748001386, 395, 131360,                                             131360, 7536.724609375, 2359.9716796875
18, -2233.2420682907104, 2, 5.458922827998322, 193, 131553,                                             131553, 7691.1650390625, 2350.221923828125
19, -3063.0626249313354, 2, 6.897605440997722, 243, 131796,                                             131796, 7204.54052734375, 2344.058837890625
20, -2449.181761741638, 2, 6.326386297998397, 226, 132022,                                             132022, 7709.5966796875, 2336.333251953125
21, -1890.8568868637085, 2, 4.416958887999499, 155, 132177,                                             132177, 7859.34423828125, 2325.23779296875
22, -2229.4834518432617, 2, 5.636923091999051, 204, 132381,                                             132381, 6894.595703125, 2320.9580078125
23, -3221.2071418762207, 2, 7.195808416003274, 257, 132638,                                             132638, 6988.470703125, 2313.181640625
24, -1441.6408338546753, 2, 2.979901113001688, 106, 132744,                                             132744, 7230.86572265625, 2304.8271484375
25, -1640.992488861084, 2, 3.746033436000289, 132, 132876,                                             132876, 7278.6376953125, 2298.975341796875
26, -6107.22581243515, 3, 19.184076212997752, 681, 133557,                                             133557, 6933.20654296875, 2281.4697265625
27, -6064.160520553589, 2, 15.22702956899957, 542, 134099,                                             134099, 7267.01611328125, 2258.30419921875
28, -1317.5326881408691, 2, 2.6354567289999977, 93, 134192,                                             134192, 6419.94580078125, 2226.330078125
29, -1869.0742206573486, 2, 4.264601279999624, 150, 134342,                                             134342, 6662.86328125, 2228.386474609375
30, -1790.8967351913452, 2, 4.075756352998724, 144, 134486,                                             134486, 6718.26904296875, 2218.218505859375
31, -4781.40611743927, 2, 12.031733596999402, 426, 134912,                                             134912, 6398.6455078125, 2190.80419921875
32, -3408.2300748825073, 2, 7.897758432998671, 279, 135191,                                             135191, 6201.232421875, 2172.55078125
33, -2408.6982049942017, 2, 5.860427628002071, 207, 135398,                                             135398, 5723.5869140625, 2157.93603515625
34, -3789.3187646865845, 2, 8.971650078001403, 319, 135717,                                             135717, 5939.67041015625, 2138.359375
35, -3280.719331741333, 2, 7.376514499002951, 261, 135978,                                             135978, 5930.7158203125, 2123.853515625
36, -2236.8384284973145, 2, 5.312715633001062, 185, 136163,                                             136163, 5293.650390625, 2107.129638671875
37, -2248.6894760131836, 2, 5.356003790002433, 191, 136354,                                             136354, 5443.01416015625, 2099.117919921875
38, -2376.2688932418823, 2, 5.76328282400209, 202, 136556,                                             136556, 5536.06103515625, 2093.82080078125
39, -6621.120100021362, 2, 16.95291986200027, 603, 137159,                                             137159, 5565.5341796875, 2075.4462890625
40, -1264.5748529434204, 2, 2.4241326629999094, 86, 137245,                                             137245, 5698.7705078125, 2065.806396484375
41, -509.368896484375, 2, 0.05015067700151121, 1, 137246,                                             137246, 4565.21337890625, 2015.5894775390625
42, -2247.5590314865112, 2, 5.3402992419978546, 188, 137434,                                             137434, 5147.47412109375, 2049.956298828125
43, -7704.973614692688, 2, 19.63830262200281, 696, 138130,                                             138130, 5381.0205078125, 2035.0654296875
44, -1444.6280736923218, 2, 2.9942298880014278, 104, 138234,                                             138234, 4490.62548828125, 2014.772216796875
45, -1748.8225498199463, 2, 3.9739648080030747, 140, 138374,                                             138374, 4704.38720703125, 2010.054931640625
46, -3599.5094718933105, 2, 8.490826343997469, 299, 138673,                                             138673, 4868.35888671875, 2007.3873291015625
47, -6978.681537628174, 3, 19.865429494999262, 702, 139375,                                             139375, 4813.759765625, 1976.938232421875
48, -1452.1764392852783, 2, 3.0354918770026416, 106, 139481,                                             139481, 4961.06591796875, 1962.7791748046875
49, -1470.9793767929077, 2, 3.074454687997786, 108, 139589,                                             139589, 4813.44091796875, 1962.874755859375
50, -3873.9159355163574, 2, 9.12193620099788, 324, 139913,                                             139913, 4831.13671875, 1952.28466796875
51, -1970.3594818115234, 2, 4.694059068999195, 165, 140078,                                             140078, 4757.65478515625, 1942.41455078125
52, -3281.3287630081177, 2, 7.547601245998521, 265, 140343,                                             140343, 4376.14453125, 1936.2926025390625
53, -1572.0584449768066, 2, 3.7905743470000743, 125, 140468,                                             140468, 4460.345703125, 1930.41796875
54, -1725.4322700500488, 2, 3.8811000069981674, 138, 140606,                                             140606, 3718.19580078125, 1927.9393310546875
55, -3197.420248031616, 2, 7.240260908998607, 255, 140861,                                             140861, 4492.7900390625, 1923.137451171875
56, -1792.4220561981201, 2, 4.161255682996853, 147, 141008,                                             141008, 3872.9443359375, 1908.6619873046875
57, -2145.697765350342, 2, 5.186630207001144, 181, 141189,                                             141189, 4309.248046875, 1906.193603515625
58, -2972.2934703826904, 2, 6.6069315200002166, 232, 141421,                                             141421, 4615.9580078125, 1899.5975341796875
59, -1536.4011850357056, 2, 3.391291708998324, 120, 141541,                                             141541, 3842.88330078125, 1894.1402587890625
60, -1217.0676946640015, 2, 2.362125408999418, 81, 141622,                                             141622, 5188.9384765625, 1893.623046875
61, -7002.779586791992, 3, 19.22056653099935, 671, 142293,                                             142293, 4042.93994140625, 1879.9837646484375
62, -1639.295181274414, 2, 3.607804393999686, 125, 142418,                                             142418, 3815.85009765625, 1871.2996826171875
63, -1530.3786716461182, 2, 3.2436330010023084, 114, 142532,                                             142532, 3994.138671875, 1865.5223388671875
64, -2156.4796180725098, 2, 5.136721350001608, 183, 142715,                                             142715, 3925.22119140625, 1861.21240234375
65, -1609.4782304763794, 2, 3.465345675002027, 121, 142836,                                             142836, 3926.902587890625, 1853.5511474609375
66, -4830.008361816406, 2, 12.560031277000235, 440, 143276,                                             143276, 3841.6806640625, 1847.9671630859375
67, -6137.321172714233, 2, 15.70009279399892, 555, 143831,                                             143831, 3866.567626953125, 1833.9974365234375
68, -1720.7936515808105, 2, 3.9002455519985233, 137, 143968,                                             143968, 3691.726318359375, 1825.40380859375
69, -1961.8806257247925, 2, 4.578919832001702, 161, 144129,                                             144129, 3639.3369140625, 1823.9312744140625
70, -2956.249963760376, 2, 6.697914402000606, 237, 144366,                                             144366, 3762.707763671875, 1816.698974609375
71, -6986.66618347168, 3, 19.338871890999144, 682, 145048,                                             145048, 3690.06884765625, 1803.6396484375
72, -2163.3352212905884, 2, 5.091357847002655, 178, 145226,                                             145226, 3237.763671875, 1794.726806640625
73, -2053.6344509124756, 2, 5.123484840001765, 181, 145407,                                             145407, 3340.28662109375, 1790.788818359375
74, -1340.9529132843018, 2, 2.669200306998391, 94, 145501,                                             145501, 2995.938232421875, 1787.128173828125
75, -2015.823574066162, 2, 4.82918249100112, 167, 145668,                                             145668, 3558.9248046875, 1777.8953857421875
76, -1805.6266593933105, 2, 4.1076106680011435, 143, 145811,                                             145811, 3528.287841796875, 1777.510009765625
77, -2261.333089828491, 2, 6.031660324999393, 210, 146021,                                             146021, 3277.6171875, 1774.92529296875
78, -1996.4949464797974, 2, 4.688378245999047, 166, 146187,                                             146187, 3583.62841796875, 1769.1754150390625
79, -3678.598440170288, 2, 8.80155230300079, 306, 146493,                                             146493, 3585.35546875, 1759.8355712890625
80, -3281.2338790893555, 2, 7.708978222999576, 270, 146763,                                             146763, 3335.871337890625, 1749.8153076171875
81, -2333.6903018951416, 2, 5.813642873999925, 205, 146968,                                             146968, 3429.2314453125, 1744.5751953125
82, -3339.3019008636475, 2, 7.846613914000045, 275, 147243,                                             147243, 3402.306396484375, 1736.4122314453125
83, -1226.2047710418701, 2, 2.295116819001123, 80, 147323,                                             147323, 2956.160400390625, 1728.7203369140625
84, -4378.187971115112, 2, 10.799083252000855, 379, 147702,                                             147702, 3333.62060546875, 1725.5897216796875
85, -2294.738310813904, 2, 5.654339663000428, 198, 147900,                                             147900, 2986.7490234375, 1715.8592529296875
86, -2116.451271057129, 2, 5.045384245000605, 177, 148077,                                             148077, 3138.842041015625, 1707.3272705078125
87, -3013.644112586975, 2, 7.009718601999339, 243, 148320,                                             148320, 3222.772705078125, 1705.361572265625
88, -1913.0011796951294, 2, 4.390503647002333, 155, 148475,                                             148475, 2927.603759765625, 1696.3023681640625
89, -7206.597259521484, 3, 19.51657461600189, 677, 149152,                                             149152, 3090.64501953125, 1693.488037109375
90, -3859.2895793914795, 2, 9.309363307998865, 325, 149477,                                             149477, 3112.18408203125, 1675.3555908203125
91, -1425.1302518844604, 2, 3.0218150870023237, 107, 149584,                                             149584, 3222.8466796875, 1675.2679443359375
92, -2680.1437063217163, 2, 6.002848968997569, 208, 149792,                                             149792, 2798.495849609375, 1668.1724853515625
93, -1728.7754907608032, 2, 3.9695611749993986, 137, 149929,                                             149929, 2746.907958984375, 1666.4759521484375
94, -3384.8498497009277, 2, 7.90927704600108, 276, 150205,                                             150205, 3268.025634765625, 1663.4647216796875
95, -1826.5876369476318, 2, 4.416490887997497, 154, 150359,                                             150359, 3480.839599609375, 1654.1663818359375
96, -2200.7685289382935, 2, 5.347283369999786, 185, 150544,                                             150544, 2666.438720703125, 1653.8675537109375
97, -6859.966137886047, 3, 19.235270228000445, 675, 151219,                                             151219, 3151.22509765625, 1642.687255859375
98, -1898.5460023880005, 2, 4.4913907469999685, 157, 151376,                                             151376, 3406.468994140625, 1631.4949951171875
99, -7062.60964012146, 3, 19.5515211560014, 679, 152055,                                             152055, 2793.6904296875, 1625.2525634765625
100, -2337.152087211609, 2, 5.754447575000086, 205, 152260,                                             152260, 2934.233642578125, 1617.6478271484375
101, -7021.763051986694, 3, 19.304069604000688, 677, 152937,                                             152937, 2635.737548828125, 1611.708984375
102, -2008.5025882720947, 2, 4.785814766997646, 167, 153104,                                             153104, 2555.44384765625, 1604.9578857421875
103, -1908.2922077178955, 2, 4.582531587999256, 161, 153265,                                             153265, 2779.4580078125, 1601.2244873046875
104, -3069.244523525238, 2, 8.258537417998014, 287, 153552,                                             153552, 2638.837646484375, 1596.4453125
105, -2076.9575538635254, 2, 4.975915476999944, 174, 153726,                                             153726, 2731.38330078125, 1593.764892578125
106, -2432.9929056167603, 2, 6.040974932999234, 211, 153937,                                             153937, 2952.883056640625, 1587.7943115234375
107, -1258.715703010559, 2, 2.4599156499971286, 86, 154023,                                             154023, 2518.654296875, 1591.0045166015625
108, -1799.2396612167358, 2, 4.164272120997339, 144, 154167,                                             154167, 2227.695068359375, 1587.669677734375
109, -1764.2306518554688, 2, 4.107090285000595, 146, 154313,                                             154313, 2607.53173828125, 1588.840087890625
110, -1476.7947282791138, 2, 3.2424304429987387, 112, 154425,                                             154425, 2519.916748046875, 1581.6634521484375
111, -2488.641781806946, 2, 5.525801981999393, 190, 154615,                                             154615, 2566.306640625, 1575.8067626953125
112, -3652.360878944397, 2, 8.598276442000497, 298, 154913,                                             154913, 3006.943603515625, 1577.4456787109375
113, -2657.781765937805, 2, 5.8239253380015725, 201, 155114,                                             155114, 2617.230712890625, 1571.2255859375
114, -6815.375960350037, 3, 19.735471579999285, 689, 155803,                                             155803, 2614.636474609375, 1567.638427734375
115, -1524.179666519165, 2, 3.300098011997761, 115, 155918,                                             155918, 2287.13720703125, 1563.5089111328125
116, -1867.180902481079, 2, 4.432969121000497, 154, 156072,                                             156072, 2870.77099609375, 1558.28955078125
117, -7137.946834564209, 3, 19.31399791399963, 671, 156743,                                             156743, 2479.75830078125, 1555.05517578125
118, -7436.47887802124, 3, 20.041194649002136, 695, 157438,                                             157438, 2584.391845703125, 1547.667236328125
119, -6841.542528152466, 3, 20.021805543001392, 697, 158135,                                             158135, 2731.128662109375, 1541.963623046875
120, -3441.868703842163, 2, 8.241741031000856, 286, 158421,                                             158421, 2906.9990234375, 1535.5452880859375
121, -1754.2932167053223, 2, 4.112070822000533, 141, 158562,                                             158562, 2632.30908203125, 1530.599609375
122, -2850.6192016601562, 2, 7.503722756002389, 261, 158823,                                             158823, 2491.038818359375, 1533.2947998046875
123, -2639.637716293335, 2, 5.967419530999905, 206, 159029,                                             159029, 2956.13037109375, 1531.5360107421875
124, -3754.87686252594, 2, 9.088805932999094, 312, 159341,                                             159341, 2375.000732421875, 1525.7786865234375
125, -1344.1607427597046, 2, 2.6708147099998314, 93, 159434,                                             159434, 2607.8291015625, 1525.8802490234375
126, -7114.280811309814, 3, 19.59074152500034, 675, 160109,                                             160109, 2843.670654296875, 1520.4449462890625
127, -6578.052291870117, 2, 16.953915764999692, 585, 160694,                                             160694, 2560.566650390625, 1518.9219970703125
128, -1503.202208518982, 2, 3.1996310470021854, 112, 160806,                                             160806, 2182.404052734375, 1515.0654296875
129, -1938.6939973831177, 2, 4.572541719000583, 160, 160966,                                             160966, 2564.13037109375, 1510.618408203125
130, -6798.782905578613, 3, 19.362755066998943, 670, 161636,                                             161636, 2388.51416015625, 1512.3211669921875
131, -2195.4030437469482, 2, 5.460128154998529, 188, 161824,                                             161824, 2716.67529296875, 1510.62548828125
132, -3655.1474390029907, 2, 8.866017854001257, 304, 162128,                                             162128, 2730.7705078125, 1506.9564208984375
133, -1292.8643617630005, 2, 2.528544288001285, 89, 162217,                                             162217, 2360.78662109375, 1509.7967529296875
134, -1302.7828750610352, 2, 2.593950758000574, 89, 162306,                                             162306, 2192.763916015625, 1509.316162109375
135, -1425.7540531158447, 2, 2.9577837150027335, 102, 162408,                                             162408, 2474.614013671875, 1505.5823974609375
136, -5762.390302658081, 2, 15.672249844999897, 545, 162953,                                             162953, 2380.443359375, 1506.2264404296875
137, -3082.383568763733, 2, 7.009124610001891, 245, 163198,                                             163198, 2823.294677734375, 1498.192626953125
138, -6911.414984703064, 3, 19.106617330999143, 658, 163856,                                             163856, 2468.8896484375, 1493.7120361328125
139, -1446.0994577407837, 2, 3.0902616349994787, 105, 163961,                                             163961, 2446.195068359375, 1490.331787109375
140, -3440.937352180481, 2, 8.068660782002553, 280, 164241,                                             164241, 2296.5302734375, 1489.695068359375
141, -7060.99561214447, 3, 19.92723829699753, 687, 164928,                                             164928, 2767.77099609375, 1486.8992919921875
142, -3174.505439758301, 2, 7.371476459997211, 254, 165182,                                             165182, 2732.202880859375, 1480.91650390625
143, -2123.903141975403, 2, 5.267192300998431, 180, 165362,                                             165362, 2042.39599609375, 1478.50537109375
144, -5137.716582298279, 2, 13.288187570000446, 459, 165821,                                             165821, 2533.514404296875, 1480.9102783203125
145, -6814.093155860901, 3, 19.169622639001318, 654, 166475,                                             166475, 2470.637451171875, 1476.10888671875
146, -2058.8148918151855, 2, 5.023594220998348, 174, 166649,                                             166649, 2414.83203125, 1469.954345703125
147, -1790.672622680664, 2, 4.183682277001935, 146, 166795,                                             166795, 2643.366455078125, 1463.07080078125
148, -3668.827607154846, 2, 8.707374126999639, 304, 167099,                                             167099, 2377.83447265625, 1466.8944091796875
149, -2889.7258195877075, 2, 6.58931498000311, 227, 167326,                                             167326, 1932.3934326171875, 1462.8885498046875
150, -1885.6046342849731, 2, 4.3700675159998355, 151, 167477,                                             167477, 2514.38720703125, 1461.4381103515625
151, -4774.918855667114, 2, 12.376178107002488, 426, 167903,                                             167903, 2595.957275390625, 1457.48193359375
152, -7033.611914634705, 2, 18.190963484998065, 626, 168529,                                             168529, 2362.57080078125, 1453.0140380859375
153, -3854.5880575180054, 2, 9.299264962999587, 322, 168851,                                             168851, 2165.66845703125, 1451.5518798828125
154, -6716.113812446594, 3, 19.467507806999492, 671, 169522,                                             169522, 2365.259765625, 1445.0595703125
155, -1333.2430200576782, 2, 2.7614459630021884, 95, 169617,                                             169617, 2701.07177734375, 1439.79541015625
156, -3066.0796785354614, 2, 7.054472327999974, 246, 169863,                                             169863, 2000.412353515625, 1442.75634765625
157, -5115.055192947388, 2, 13.266407058003097, 461, 170324,                                             170324, 1907.0081787109375, 1439.08056640625
158, -3242.6541471481323, 2, 7.541315059999761, 260, 170584,                                             170584, 2177.380859375, 1435.8358154296875
159, -7214.707951545715, 2, 18.78377971699956, 648, 171232,                                             171232, 2207.643310546875, 1430.6885986328125
160, -3002.7091026306152, 2, 7.030818005001493, 240, 171472,                                             171472, 2121.531005859375, 1425.244140625
161, -1236.3498315811157, 2, 2.394547477000742, 83, 171555,                                             171555, 2142.57080078125, 1420.681884765625
162, -3466.556137084961, 2, 8.383413469997322, 284, 171839,                                             171839, 1949.75634765625, 1423.04296875
163, -1832.2561864852905, 2, 4.429192334999243, 153, 171992,                                             171992, 1867.821044921875, 1420.6148681640625
164, -2726.615228652954, 2, 6.238713597998867, 213, 172205,                                             172205, 2072.475830078125, 1416.2359619140625
165, -3117.382670402527, 2, 7.195454061999044, 244, 172449,                                             172449, 2004.7203369140625, 1413.5491943359375
166, -1308.2550573349, 2, 2.5957647530012764, 91, 172540,                                             172540, 1712.061767578125, 1412.3153076171875
167, -1412.0172481536865, 2, 2.9817847260019334, 101, 172641,                                             172641, 1789.0516357421875, 1409.9293212890625
168, -6986.034254074097, 3, 19.68979449499966, 677, 173318,                                             173318, 2158.687255859375, 1405.3160400390625
169, -3760.7048349380493, 2, 9.079088982998655, 314, 173632,                                             173632, 1940.069091796875, 1403.517578125
170, -1424.8335628509521, 2, 3.0149335489986697, 105, 173737,                                             173737, 2200.84765625, 1402.9879150390625
171, -7126.781524658203, 3, 19.980904232001194, 682, 174419,                                             174419, 1909.622802734375, 1395.822265625
172, -3732.8959016799927, 2, 8.915697155000089, 306, 174725,                                             174725, 2459.859130859375, 1392.686767578125
173, -1425.7743339538574, 2, 3.0061277660024643, 102, 174827,                                             174827, 2549.510498046875, 1390.358154296875
174, -3018.495901107788, 2, 6.939298838002287, 239, 175066,                                             175066, 2010.1224365234375, 1392.447509765625
175, -2148.0127086639404, 2, 5.3663559520027775, 183, 175249,                                             175249, 1946.7303466796875, 1385.6112060546875
176, -7266.755268096924, 3, 19.89649811599884, 679, 175928,                                             175928, 2149.080322265625, 1381.7423095703125
177, -1785.1682710647583, 2, 4.208943852001539, 142, 176070,                                             176070, 2219.061279296875, 1377.285888671875
178, -3507.4378480911255, 2, 8.568973564000771, 284, 176354,                                             176354, 1911.364013671875, 1375.1727294921875
179, -1341.7591276168823, 2, 2.771072114002891, 96, 176450,                                             176450, 2175.3857421875, 1374.4415283203125
180, -1894.2060060501099, 2, 4.476796371000091, 153, 176603,                                             176603, 1991.9678955078125, 1376.428466796875
181, -6895.740842819214, 3, 19.089038390000496, 652, 177255,                                             177255, 1998.4354248046875, 1371.167236328125
182, -1415.1757164001465, 2, 3.018961477002449, 102, 177357,                                             177357, 2156.637451171875, 1366.1982421875
183, -1909.3723344802856, 2, 4.578182296001614, 159, 177516,                                             177516, 2161.584228515625, 1365.7794189453125
184, -2043.2731046676636, 2, 5.097700909998821, 172, 177688,                                             177688, 2065.30322265625, 1363.9586181640625
185, -1389.5177745819092, 2, 2.8892910750000738, 99, 177787,                                             177787, 2005.612548828125, 1363.4644775390625
186, -4207.248141288757, 2, 10.934868550000829, 372, 178159,                                             178159, 1910.5791015625, 1358.7757568359375
187, -1608.6809349060059, 2, 3.6182632989984995, 125, 178284,                                             178284, 2326.392578125, 1358.9365234375
188, -1886.7871961593628, 2, 4.513118572001986, 153, 178437,                                             178437, 2157.303466796875, 1358.4669189453125
189, -6778.46004486084, 3, 19.522318932002236, 665, 179102,                                             179102, 2159.940673828125, 1354.8060302734375
190, -1534.3884239196777, 2, 3.3919742250000127, 118, 179220,                                             179220, 1944.3658447265625, 1352.547119140625
191, -3997.641695022583, 2, 9.852174768999248, 338, 179558,                                             179558, 2060.50927734375, 1347.425537109375
192, -4366.924933433533, 2, 10.628077336001297, 368, 179926,                                             179926, 2183.13427734375, 1345.5693359375
193, -7046.696199417114, 2, 18.992958707996877, 644, 180570,                                             180570, 2064.050537109375, 1345.0423583984375
194, -2372.507652282715, 2, 5.858502270999452, 203, 180773,                                             180773, 1885.40673828125, 1340.12451171875
195, -2592.9674196243286, 2, 5.938833603999228, 204, 180977,                                             180977, 2205.52294921875, 1342.9466552734375
196, -1583.4926090240479, 2, 3.5152103990003525, 118, 181095,                                             181095, 1964.2821044921875, 1336.6265869140625
197, -1530.3876485824585, 2, 3.449095567000768, 115, 181210,                                             181210, 1988.11572265625, 1334.4239501953125
198, -1562.0567226409912, 2, 3.614167716998054, 121, 181331,                                             181331, 1643.4910888671875, 1336.2384033203125
199, -1930.3341255187988, 2, 4.747073064998403, 165, 181496,                                             181496, 2527.10546875, 1334.5478515625
200, -1683.8417129516602, 2, 3.789766599002178, 130, 181626,                                             181626, 1806.25, 1330.632568359375
201, -3901.027208328247, 2, 10.145687807002105, 343, 181969,                                             181969, 2034.9329833984375, 1329.604736328125
202, -1484.6396141052246, 2, 3.232777895998879, 108, 182077,                                             182077, 1761.7685546875, 1327.1650390625
203, -1638.373459815979, 2, 3.9055086510015826, 132, 182209,                                             182209, 2108.958984375, 1324.9918212890625
204, -2103.50048160553, 2, 5.257666139998037, 178, 182387,                                             182387, 1826.7259521484375, 1322.6611328125
205, -5047.92086315155, 2, 13.687026713996602, 466, 182853,                                             182853, 2095.613525390625, 1321.380615234375
206, -2177.219106197357, 2, 5.691759001001628, 195, 183048,                                             183048, 1626.909423828125, 1319.1937255859375
207, -1640.007056236267, 2, 3.9607288709994464, 134, 183182,                                             183182, 1960.5394287109375, 1313.5703125
208, -2141.030863761902, 2, 5.667463359997782, 193, 183375,                                             183375, 1523.7291259765625, 1316.43115234375
209, -2031.1307134628296, 2, 4.935223163996852, 167, 183542,                                             183542, 2019.8143310546875, 1312.0491943359375
210, -4811.5985288619995, 2, 12.91697848399781, 438, 183980,                                             183980, 1894.85888671875, 1308.6588134765625
211, -2085.2709498405457, 2, 5.402868867000507, 185, 184165,                                             184165, 1446.1451416015625, 1309.21728515625
212, -3958.711989402771, 2, 10.012722918996587, 340, 184505,                                             184505, 1869.0482177734375, 1305.7247314453125
213, -2721.043478012085, 2, 6.452729872999043, 217, 184722,                                             184722, 2128.166015625, 1302.32421875
214, -1198.9394302368164, 2, 2.39057425899955, 80, 184802,                                             184802, 1343.47021484375, 1309.475830078125
215, -1095.1577558517456, 2, 2.008597476997238, 67, 184869,                                             184869, 2704.03173828125, 1304.5042724609375
216, -1350.9624977111816, 2, 2.894882096999936, 97, 184966,                                             184966, 2586.2705078125, 1306.5
217, -3464.5089054107666, 2, 8.683987941996747, 292, 185258,                                             185258, 1797.6846923828125, 1298.244384765625
218, -2112.497889518738, 2, 5.540081604998704, 187, 185445,                                             185445, 2040.478759765625, 1298.04248046875
219, -1167.3454389572144, 2, 2.285484367002937, 76, 185521,                                             185521, 2198.585205078125, 1297.4879150390625
220, -3120.910180091858, 2, 7.630381459999626, 259, 185780,                                             185780, 1961.0509033203125, 1292.6220703125
221, -1373.1099138259888, 2, 2.9258747849999054, 98, 185878,                                             185878, 2127.22119140625, 1295.0469970703125
222, -1180.3831129074097, 2, 2.3603833509987453, 77, 185955,                                             185955, 1683.26220703125, 1293.0189208984375
223, -3280.9637656211853, 2, 8.975177372001781, 303, 186258,                                             186258, 1875.5377197265625, 1289.6478271484375
224, -4587.387981414795, 2, 12.720370834998903, 432, 186690,                                             186690, 1947.4205322265625, 1289.76220703125
225, -1081.0743961334229, 2, 1.9683799799968256, 66, 186756,                                             186756, 1606.1580810546875, 1288.7740478515625
226, -1487.5118045806885, 2, 3.384835804998147, 112, 186868,                                             186868, 1901.886962890625, 1286.1580810546875
227, -1209.042384147644, 2, 2.3834929469994677, 82, 186950,                                             186950, 1599.4456787109375, 1284.511962890625
228, -1832.0096645355225, 2, 4.564882588998444, 155, 187105,                                             187105, 1882.0748291015625, 1285.9437255859375
229, -3388.7013578414917, 2, 8.430433292000089, 285, 187390,                                             187390, 1853.3485107421875, 1284.181884765625
230, -1588.6501483917236, 2, 3.6189434090010764, 124, 187514,                                             187514, 1873.0584716796875, 1285.2762451171875
231, -2026.196783542633, 2, 5.395914152999467, 181, 187695,                                             187695, 1914.462646484375, 1283.6661376953125
232, -1641.523078918457, 2, 3.9972258069974487, 135, 187830,                                             187830, 2224.3134765625, 1280.405029296875
233, -1999.535976409912, 2, 4.93906505799896, 166, 187996,                                             187996, 1897.1922607421875, 1279.215576171875
234, -2026.066309928894, 2, 5.043092504001834, 170, 188166,                                             188166, 1802.392333984375, 1279.95361328125
235, -1383.512972831726, 2, 3.016047981000156, 101, 188267,                                             188267, 2275.779052734375, 1277.7825927734375
