episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -13677.51537847519, 3, 1.9278167439999834, 139, 2502,                                             2502, 2.284661293029785, 29.042539596557617
2, -2008.8971757888794, 3, 3.2390979790000074, 221, 2723,                                             2723, 2.382992744445801, 31.318056106567383
3, -2089.094858646393, 3, 3.182516883999938, 226, 2949,                                             2949, 2.5460598468780518, 33.86686706542969
4, -2099.3347635269165, 3, 3.1980393190000314, 226, 3175,                                             3175, 2.7280774116516113, 36.524085998535156
5, -2046.1019191741943, 3, 3.1354186480000408, 221, 3396,                                             3396, 2.943917989730835, 39.25056076049805
6, -2138.570493221283, 3, 3.2842026050000186, 231, 3627,                                             3627, 3.2286274433135986, 41.879215240478516
7, -2071.135888814926, 3, 3.1020932110000103, 218, 3845,                                             3845, 3.322638511657715, 44.555931091308594
8, -2825.9537949562073, 3, 4.211863030000018, 295, 4140,                                             4140, 3.3039026260375977, 47.59518814086914
9, -2129.3027262687683, 3, 3.209302794999985, 225, 4365,                                             4365, 3.290522575378418, 50.79848098754883
10, -2432.011850118637, 3, 3.541291584000078, 249, 4614,                                             4614, 3.368525743484497, 53.73802947998047
11, -2093.6566014289856, 3, 3.186149273999945, 224, 4838,                                             4838, 3.5958924293518066, 56.71780776977539
12, -2090.756181716919, 3, 3.275759722000089, 228, 5066,                                             5066, 3.5764336585998535, 59.547489166259766
13, -2383.3887848854065, 3, 3.5323468049999747, 249, 5315,                                             5315, 3.5084056854248047, 62.46455001831055
14, -2412.8725702762604, 3, 3.67873282700009, 255, 5570,                                             5570, 3.469883918762207, 65.7860336303711
15, -2274.954731464386, 3, 3.5299013600000535, 248, 5818,                                             5818, 3.5759568214416504, 68.84895324707031
16, -2320.4575114250183, 3, 3.5420993669999916, 249, 6067,                                             6067, 3.8057925701141357, 71.93092346191406
17, -2036.415774345398, 3, 3.2772819049999953, 227, 6294,                                             6294, 3.6301040649414062, 75.15491485595703
18, -2090.5231108665466, 3, 3.237221864999924, 227, 6521,                                             6521, 3.6996326446533203, 77.87715148925781
19, -1884.4235923290253, 3, 3.240420621999988, 228, 6749,                                             6749, 3.678412675857544, 80.87860107421875
20, -2166.0288758277893, 3, 3.3011976010000126, 230, 6979,                                             6979, 3.860159397125244, 83.7572250366211
21, -2039.48921585083, 3, 3.2618119269999397, 223, 7202,                                             7202, 4.130430221557617, 86.48045349121094
22, -2185.0586609840393, 3, 3.325278414999957, 229, 7431,                                             7431, 3.9106831550598145, 89.37115478515625
23, -2398.638795852661, 3, 3.662893813999972, 260, 7691,                                             7691, 3.9603819847106934, 92.477294921875
