episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
11501, -2292.0718352794647, 2, 0.6877020140000099, 5, 1043315,                                             25600, 27901.212890625, 1405.143310546875
11502, -2936.1760194301605, 3, 1.9964424309999913, 189, 1043504,                                             25600, 3273.804931640625, 1461.8282470703125
11503, -2278.8339061439037, 3, 2.000779257000005, 197, 1043701,                                             25600, 3005.95556640625, 1499.2215576171875
11504, -3006.6595928817987, 2, 0.8569012709999981, 85, 1043786,                                             25600, 3487.701904296875, 1517.6617431640625
11505, -3433.7407109737396, 2, 1.2426931499999938, 120, 1043906,                                             25600, 2673.23779296875, 1514.3262939453125
11506, -3101.7489857673645, 2, 0.4513146819999889, 45, 1043951,                                             25600, 3177.277099609375, 1513.40185546875
11507, -2659.8335746079683, 2, 0.432730786999997, 44, 1043995,                                             25600, 3824.218994140625, 1525.6971435546875
11508, -3310.1071877479553, 2, 0.952297956999999, 99, 1044094,                                             25600, 3840.645751953125, 1523.23486328125
11509, -2685.162977229338, 2, 0.472980634999999, 49, 1044143,                                             25600, 3765.66552734375, 1525.42138671875
11510, -2373.5927960574627, 2, 1.0512064870000017, 79, 1044222,                                             25600, 3261.666259765625, 1534.97998046875
11511, -2634.4229718521237, 2, 0.43125469000000294, 42, 1044264,                                             25600, 3528.327392578125, 1537.5904541015625
11512, -3826.7416677474976, 2, 0.8238395799999978, 84, 1044348,                                             25600, 3120.447265625, 1534.0865478515625
11513, -2669.031552201137, 2, 0.44754168200000777, 46, 1044394,                                             25600, 2953.258056640625, 1543.408935546875
11514, -3839.351046562195, 2, 1.439449480999997, 139, 1044533,                                             25600, 3084.414794921875, 1534.51708984375
11515, -4374.378114700317, 2, 1.0418700919999964, 107, 1044640,                                             25600, 3596.487548828125, 1536.4798583984375
11516, -2811.3502700328827, 2, 0.4723246369999998, 49, 1044689,                                             25600, 3114.647216796875, 1537.988525390625
11517, -4114.106519699097, 2, 0.9042056700000103, 93, 1044782,                                             25600, 3725.29296875, 1532.8807373046875
11518, -2799.0194521546364, 3, 1.9862752960000023, 197, 1044979,                                             25600, 3422.76904296875, 1520.3463134765625
11519, -5016.442914009094, 2, 1.9518004260000055, 202, 1045181,                                             25600, 3514.07421875, 1506.2880859375
11520, -2532.379828414065, 3, 1.9482493619999985, 191, 1045372,                                             25600, 3435.59228515625, 1492.3494873046875
11521, -2255.95185456099, 3, 2.0005323970000006, 194, 1045566,                                             25600, 3170.683837890625, 1485.7783203125
11522, -3004.5215767621994, 2, 0.8304738860000072, 86, 1045652,                                             25600, 3017.37744140625, 1484.6856689453125
11523, -3005.1436592042446, 2, 0.640841444000003, 66, 1045718,                                             25600, 3289.6875, 1479.05419921875
11524, -2845.8254284858704, 2, 0.4519696649999929, 47, 1045765,                                             25600, 2955.794189453125, 1475.9075927734375
11525, -2376.681553632021, 3, 1.9769551079999985, 197, 1045962,                                             25600, 3483.734130859375, 1488.009033203125
11526, -3584.551647424698, 2, 1.3315077780000024, 131, 1046093,                                             25600, 3371.507080078125, 1486.987548828125
11527, -3867.738543510437, 2, 1.0238386799999972, 103, 1046196,                                             25600, 3299.447265625, 1494.376708984375
