episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
5801, -2393.556941509247, 3, 1.9560608129977481, 129, 473056,                                             25600, 4525.37353515625, 1936.8936767578125
5802, -2742.3667969703674, 2, 0.457999694001046, 39, 473095,                                             25600, 2004.2803955078125, 1913.6915283203125
5803, -2918.919404119253, 2, 0.8837821550005174, 78, 473173,                                             25600, 2140.33154296875, 1899.22412109375
5804, -3104.4312806129456, 2, 0.5033011100022122, 42, 473215,                                             25600, 2086.483154296875, 1881.09765625
5805, -3696.922492980957, 2, 0.978768406999734, 82, 473297,                                             25600, 2359.824462890625, 1873.5404052734375
5806, -3668.5599069595337, 2, 1.025703090002935, 88, 473385,                                             25600, 1944.02001953125, 1870.224609375
5807, -3619.487773388624, 2, 0.9797770400000445, 83, 473468,                                             25600, 2043.37841796875, 1867.0018310546875
5808, -3551.50717279315, 2, 1.1909128119987145, 99, 473567,                                             25600, 2306.430419921875, 1849.7548828125
5809, -2930.057559967041, 2, 0.5939150659978623, 51, 473618,                                             25600, 2082.542236328125, 1843.9688720703125
5810, -2814.315372467041, 2, 0.5004759219991683, 44, 473662,                                             25600, 2161.138427734375, 1842.5968017578125
5811, -2612.2195901870728, 3, 1.984372300998075, 167, 473829,                                             25600, 2151.489501953125, 1827.0843505859375
5812, -2696.04823482316, 2, 0.8990625980004552, 80, 473909,                                             25600, 2384.989990234375, 1821.491943359375
5813, -2714.697105526924, 2, 0.806391934002022, 73, 473982,                                             25600, 2536.615234375, 1826.0733642578125
5814, -3671.1583499908447, 2, 1.0131503190023068, 85, 474067,                                             25600, 2254.4052734375, 1837.34130859375
5815, -2641.4676365852356, 3, 1.9883039170017582, 160, 474227,                                             25600, 2319.294677734375, 1833.980712890625
5816, -3273.790845632553, 2, 0.992316504001792, 82, 474309,                                             25600, 2022.3878173828125, 1821.080810546875
5817, -4089.350049495697, 2, 1.0308487850015808, 82, 474391,                                             25600, 2509.18505859375, 1818.056396484375
5818, -3735.2995567321777, 2, 1.111852795998857, 96, 474487,                                             25600, 2317.047607421875, 1827.01611328125
5819, -2971.7709007263184, 2, 0.9281843259996094, 80, 474567,                                             25600, 2201.962890625, 1821.2353515625
5820, -2780.1224173903465, 2, 0.8922892230002617, 78, 474645,                                             25600, 2336.716796875, 1811.3096923828125
5821, -3667.4069690704346, 2, 0.834047260999796, 72, 474717,                                             25600, 2180.36083984375, 1808.92041015625
5822, -2839.8412096500397, 2, 0.501433547000488, 42, 474759,                                             25600, 2389.37548828125, 1820.8873291015625
5823, -2627.457272890955, 2, 0.9131791590007197, 75, 474834,                                             25600, 2457.122802734375, 1833.5919189453125
5824, -2942.4678382873535, 2, 0.44360080000114976, 37, 474871,                                             25600, 2301.34912109375, 1833.6180419921875
5825, -3948.4036174193025, 2, 1.4325897400012764, 120, 474991,                                             25600, 2565.578857421875, 1832.1241455078125
5826, -2614.1654230579734, 2, 0.47381855599815026, 40, 475031,                                             25600, 2387.766845703125, 1839.1038818359375
5827, -2671.347928673029, 2, 0.41704842599938274, 36, 475067,                                             25600, 2297.036865234375, 1846.118896484375
5828, -3840.277961730957, 2, 0.8982482959982008, 76, 475143,                                             25600, 2450.140869140625, 1833.987060546875
5829, -2583.684769630432, 3, 1.937605610000901, 154, 475297,                                             25600, 2328.236083984375, 1831.6798095703125
5830, -2398.596872329712, 3, 2.0010975080003846, 149, 475446,                                             25600, 2481.041015625, 1844.20654296875
5831, -3379.9991109371185, 2, 0.9968773389991838, 81, 475527,                                             25600, 2388.32421875, 1843.3619384765625
5832, -3773.1087141036987, 2, 0.8786841020009888, 75, 475602,                                             25600, 2394.747802734375, 1831.072509765625
5833, -2891.3925770921633, 2, 1.2632172779995017, 107, 475709,                                             25600, 2126.27490234375, 1817.155517578125
5834, -3068.1459877490997, 2, 0.9362440060031076, 81, 475790,                                             25600, 2368.576904296875, 1795.5609130859375
5835, -2584.5345878601074, 3, 2.023731821002002, 161, 475951,                                             25600, 2139.30859375, 1787.73388671875
5836, -3042.245846271515, 2, 0.4665976309988764, 37, 475988,                                             25600, 2296.384033203125, 1788.198486328125
5837, -1898.7752224579453, 3, 1.9352214009995805, 158, 476146,                                             25600, 2318.853515625, 1768.8358154296875
5838, -3649.17396068573, 2, 0.8315475630006404, 69, 476215,                                             25600, 2117.081298828125, 1761.076416015625
5839, -2763.4741177260876, 2, 0.4737596980012313, 42, 476257,                                             25600, 2371.74755859375, 1756.5802001953125
5840, -2786.720803551376, 2, 0.777320012999553, 68, 476325,                                             25600, 2104.857177734375, 1751.1484375
5841, -3644.090468764305, 2, 0.9804210789989156, 85, 476410,                                             25600, 2291.870361328125, 1752.3458251953125
5842, -3695.0793170928955, 2, 0.8341830639983527, 73, 476483,                                             25600, 2497.61083984375, 1751.4957275390625
5843, -3777.471861898899, 2, 1.1167432609981915, 96, 476579,                                             25600, 2629.679443359375, 1748.38916015625
5844, -2990.2810459136963, 2, 0.41927265800040914, 36, 476615,                                             25600, 2278.507568359375, 1735.1014404296875
5845, -3024.162833213806, 2, 0.4155409900013183, 35, 476650,                                             25600, 2024.025634765625, 1732.46435546875
5846, -3787.7846422195435, 2, 0.9164802939994843, 83, 476733,                                             25600, 2244.744140625, 1717.791259765625
5847, -2842.36466383934, 2, 0.8836182320010266, 77, 476810,                                             25600, 2381.53662109375, 1703.9754638671875
5848, -2922.5186138749123, 2, 0.8150830570011749, 72, 476882,                                             25600, 2786.0732421875, 1713.579345703125
5849, -3689.8723945617676, 2, 0.8807162359989889, 74, 476956,                                             25600, 2405.521484375, 1722.4150390625
5850, -2981.8620223999023, 2, 0.8577488789997005, 71, 477027,                                             25600, 2353.85546875, 1716.5965576171875
5851, -2771.3883844949305, 2, 0.9010911000004853, 71, 477098,                                             25600, 2254.90576171875, 1719.879150390625
5852, -3927.0397391319275, 2, 0.8965229290006391, 78, 477176,                                             25600, 2315.06298828125, 1717.2418212890625
5853, -3726.0915589258075, 2, 1.6814658180010156, 143, 477319,                                             25600, 2384.1884765625, 1709.1739501953125
5854, -2623.1550347404554, 2, 0.879915257999528, 78, 477397,                                             25600, 2481.747314453125, 1691.16943359375
5855, -2597.4298229143023, 2, 0.8920222769993416, 78, 477475,                                             25600, 2422.62158203125, 1691.635009765625
