episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -530.0774548053741, 2, 3.7431624740056577, 111, 1305,                                             1305, 278.1377868652344, 60.401737213134766
2, -781.6230962276459, 2, 6.458234419995279, 142, 1447,                                             1447, 389.4660949707031, 70.98417663574219
3, -1118.001425743103, 2, 10.212975743997958, 217, 1664,                                             1664, 289.0824890136719, 86.40681457519531
4, -768.1163165569305, 2, 6.224101698004233, 131, 1795,                                             1795, 258.5548400878906, 100.83586883544922
5, -491.1511604785919, 2, 2.8359804740030086, 60, 1855,                                             1855, 281.0440979003906, 107.76111602783203
6, -673.2103571891785, 2, 4.875316006997309, 106, 1961,                                             1961, 279.4176025390625, 113.87272644042969
7, -473.5253870487213, 2, 2.632845872998587, 56, 2017,                                             2017, 284.8285217285156, 119.49259185791016
8, -483.37903237342834, 2, 2.605426736001391, 58, 2075,                                             2075, 234.3217315673828, 123.68954467773438
9, -502.2001953125, 2, 2.859807879998698, 63, 2138,                                             2138, 259.50433349609375, 128.38287353515625
10, -705.5448229312897, 2, 5.350444928997604, 114, 2252,                                             2252, 230.53045654296875, 134.9416961669922
11, -669.4432022571564, 2, 4.91860595199978, 105, 2357,                                             2357, 191.5677032470703, 142.72052001953125
12, -725.1257612705231, 2, 5.528242704000149, 118, 2475,                                             2475, 181.64129638671875, 151.09764099121094
13, -933.5963094234467, 2, 7.900380007995409, 169, 2644,                                             2644, 173.7046356201172, 161.45767211914062
14, -708.7560479640961, 2, 5.353350475001207, 114, 2758,                                             2758, 125.64981842041016, 171.29808044433594
15, -738.0692472457886, 2, 5.728080596003565, 121, 2879,                                             2879, 129.47926330566406, 180.1203155517578
16, -763.3906345367432, 2, 6.10359307500039, 127, 3006,                                             3006, 95.8520278930664, 189.31753540039062
17, -725.9335391521454, 2, 5.613592490000883, 119, 3125,                                             3125, 83.26103210449219, 198.17735290527344
18, -764.5202147960663, 2, 6.1252392689930275, 128, 3253,                                             3253, 71.866943359375, 207.08045959472656
19, -818.3104164600372, 2, 6.774078030000965, 142, 3395,                                             3395, 68.77201080322266, 215.7482452392578
20, -605.9758627414703, 2, 4.1480773629955365, 88, 3483,                                             3483, 74.04267120361328, 222.99559020996094
21, -857.8533618450165, 2, 7.241781691998767, 151, 3634,                                             3634, 68.15126037597656, 230.34625244140625
22, -574.2296042442322, 2, 3.812783159999526, 81, 3715,                                             3715, 51.498355865478516, 237.0894775390625
23, -821.0393073558807, 2, 6.850328428998182, 144, 3859,                                             3859, 58.51998519897461, 243.8911895751953
24, -582.250821352005, 2, 3.9623270119991503, 82, 3941,                                             3941, 53.06476974487305, 250.39651489257812
25, -409.7101833820343, 2, 3.5311263559997315, 74, 4015,                                             4015, 59.23312759399414, 254.10462951660156
26, -672.4073104858398, 2, 5.444405315996846, 114, 4129,                                             4129, 59.726131439208984, 258.3605651855469
27, -607.4080429077148, 2, 4.684256925997033, 98, 4227,                                             4227, 55.813968658447266, 261.7729797363281
28, -704.8874697685242, 2, 7.276661989999411, 155, 4382,                                             4382, 59.409210205078125, 266.185302734375
29, -838.3464567661285, 2, 8.896572380996076, 191, 4573,                                             4573, 70.75331115722656, 271.3388366699219
30, -885.0766458511353, 2, 10.921799058000033, 233, 4806,                                             4806, 72.82324981689453, 277.77862548828125
31, -557.0934009552002, 2, 4.020848496002145, 85, 4891,                                             4891, 71.67085266113281, 281.7289123535156
32, -546.0361065864563, 2, 3.8429081610011053, 80, 4971,                                             4971, 79.39750671386719, 283.4635009765625
33, -564.9419288635254, 2, 4.122958064996055, 86, 5057,                                             5057, 61.77044677734375, 285.3765869140625
34, -549.4389939308167, 2, 5.214041582999926, 108, 5165,                                             5165, 59.30028533935547, 288.0619812011719
35, -572.7931842803955, 2, 4.183373946005304, 88, 5253,                                             5253, 54.65118408203125, 289.85107421875
36, -1406.5467512607574, 2, 15.745032847000402, 332, 5585,                                             5585, 76.34324645996094, 293.93096923828125
37, -468.2372190952301, 2, 2.951644683998893, 61, 5646,                                             5646, 71.67176818847656, 297.158203125
38, -693.9014000892639, 2, 8.777978725003777, 185, 5831,                                             5831, 90.16425323486328, 299.5774841308594
39, -652.2644624710083, 2, 8.350452973005304, 175, 6006,                                             6006, 94.88481903076172, 302.4410400390625
40, -553.6924612522125, 2, 5.3321533070047735, 115, 6121,                                             6121, 93.25575256347656, 304.7629699707031
41, -527.5867977142334, 2, 3.6922692689986434, 77, 6198,                                             6198, 115.6025390625, 306.66400146484375
42, -695.0915637016296, 2, 8.558415323997906, 183, 6381,                                             6381, 103.16085815429688, 308.1378173828125
43, -700.8868203163147, 2, 8.877925865999714, 190, 6571,                                             6571, 116.55599975585938, 310.5960388183594
44, -621.9652099609375, 2, 7.595792266998615, 162, 6733,                                             6733, 130.11244201660156, 312.6927185058594
45, -515.1713037490845, 2, 3.472908543997619, 72, 6805,                                             6805, 124.59994506835938, 314.036376953125
46, -649.5571444034576, 2, 6.512959170999238, 138, 6943,                                             6943, 128.43896484375, 314.5447692871094
47, -649.5314013957977, 2, 8.176577156002168, 170, 7113,                                             7113, 138.479248046875, 315.70953369140625
48, -570.6525332927704, 2, 7.226486166000541, 152, 7265,                                             7265, 121.74502563476562, 317.750732421875
49, -507.843811750412, 2, 3.362895894999383, 70, 7335,                                             7335, 125.41294860839844, 318.500732421875
50, -1497.98699593544, 3, 19.662429026997415, 414, 7749,                                             7749, 146.78225708007812, 320.2348937988281
51, -536.9713635444641, 2, 6.570715031004511, 138, 7887,                                             7887, 154.9974822998047, 322.1295471191406
52, -1296.402663230896, 2, 14.455201334996673, 308, 8195,                                             8195, 162.5621795654297, 323.057373046875
53, -549.9825558662415, 2, 5.300177133001853, 111, 8306,                                             8306, 170.46664428710938, 323.72515869140625
54, -568.5050647258759, 2, 4.09893035999994, 86, 8392,                                             8392, 160.0338897705078, 323.6834716796875
55, -697.7409996986389, 2, 8.973527864996868, 186, 8578,                                             8578, 156.58030700683594, 324.21722412109375
56, -438.0056607723236, 2, 3.920642390003195, 80, 8658,                                             8658, 177.82815551757812, 324.83380126953125
57, -525.9638259410858, 2, 3.5605173260046286, 74, 8732,                                             8732, 141.39321899414062, 325.4231872558594
58, -1051.766288280487, 2, 11.925677186998655, 245, 8977,                                             8977, 158.39242553710938, 325.7772216796875
59, -1627.011082649231, 3, 19.495961335000175, 406, 9383,                                             9383, 150.8876953125, 326.55780029296875
60, -969.5657477378845, 2, 10.257268619003298, 224, 9607,                                             9607, 152.99913024902344, 328.2001037597656
61, -726.3099246025085, 2, 7.623286727997765, 162, 9769,                                             9769, 161.51519775390625, 329.4912109375
62, -1069.3054821491241, 2, 13.228193756003748, 284, 10053,                                             10053, 170.090087890625, 329.3879699707031
63, -663.8525178432465, 2, 8.363117050997971, 176, 10229,                                             10229, 166.36444091796875, 329.59698486328125
64, -466.2655818462372, 2, 5.529682880995097, 116, 10345,                                             10345, 173.36402893066406, 330.1662292480469
65, -1019.4205234050751, 2, 11.056110999998054, 236, 10581,                                             10581, 168.17088317871094, 330.0345458984375
66, -639.483193397522, 2, 6.561073379998561, 139, 10720,                                             10720, 185.3377685546875, 329.9127502441406
67, -482.17889976501465, 2, 3.0395236699987436, 64, 10784,                                             10784, 213.84088134765625, 329.6039733886719
68, -480.0612602233887, 2, 2.960477851003816, 63, 10847,                                             10847, 164.24855041503906, 329.93408203125
69, -455.5008022785187, 2, 3.9536902389954776, 84, 10931,                                             10931, 171.1450958251953, 330.5196533203125
70, -475.923681974411, 2, 4.208793139994668, 89, 11020,                                             11020, 175.27964782714844, 329.7187194824219
71, -550.0701389312744, 2, 5.25588454100216, 112, 11132,                                             11132, 181.3142852783203, 330.0014343261719
72, -438.96896600723267, 2, 3.814079830000992, 81, 11213,                                             11213, 168.91839599609375, 329.871826171875
73, -467.192312002182, 2, 5.776191917000688, 122, 11335,                                             11335, 179.87266540527344, 330.2236022949219
74, -630.3148295879364, 2, 6.2463197210017825, 133, 11468,                                             11468, 181.5310821533203, 329.9814758300781
75, -457.72937965393066, 2, 2.674970870000834, 57, 11525,                                             11525, 190.35983276367188, 330.1251220703125
76, -471.68167877197266, 2, 5.568051774003834, 120, 11645,                                             11645, 189.3248748779297, 330.0194091796875
77, -1034.1547207832336, 2, 12.849676634999923, 278, 11923,                                             11923, 175.01588439941406, 329.88323974609375
78, -1024.078929901123, 2, 12.598417167995649, 279, 12202,                                             12202, 195.25045776367188, 329.7139892578125
79, -526.6626710891724, 2, 5.9656589459991665, 133, 12335,                                             12335, 179.1339111328125, 329.432373046875
80, -426.3255922794342, 2, 3.5829024159975233, 77, 12412,                                             12412, 209.03939819335938, 329.3339538574219
81, -601.4978590011597, 2, 7.458642416000657, 161, 12573,                                             12573, 186.56846618652344, 329.29443359375
82, -415.09003353118896, 2, 2.209505120998074, 46, 12619,                                             12619, 131.2441864013672, 329.6797790527344
83, -476.8800241947174, 2, 5.801192940001783, 121, 12740,                                             12740, 192.91905212402344, 329.44061279296875
84, -486.0935254096985, 2, 3.0415386140011833, 65, 12805,                                             12805, 182.58261108398438, 329.2597961425781
85, -442.0764060020447, 2, 2.529392213000392, 53, 12858,                                             12858, 224.217529296875, 329.20703125
86, -441.79321813583374, 2, 2.4879300500033423, 53, 12911,                                             12911, 220.30294799804688, 328.8195495605469
87, -436.6758668422699, 2, 3.932633251999505, 80, 12991,                                             12991, 207.6287384033203, 329.1383361816406
88, -538.8792171478271, 2, 5.1638199820008595, 108, 13099,                                             13099, 187.54832458496094, 328.8060302734375
89, -723.7443916797638, 2, 7.528158892004285, 159, 13258,                                             13258, 180.19383239746094, 328.3335876464844
90, -447.60102105140686, 2, 2.601598904999264, 54, 13312,                                             13312, 169.9768524169922, 328.5054016113281
91, -537.7745680809021, 2, 7.082759801000066, 147, 13459,                                             13459, 223.82797241210938, 327.8160705566406
92, -631.1577253341675, 2, 6.39740516099846, 136, 13595,                                             13595, 182.5351104736328, 327.89263916015625
93, -473.9217746257782, 2, 2.8773280330060516, 62, 13657,                                             13657, 216.25047302246094, 327.81402587890625
94, -437.47151231765747, 2, 2.391253659996437, 52, 13709,                                             13709, 181.34371948242188, 327.61114501953125
95, -965.7621924877167, 2, 11.914080991002265, 264, 13973,                                             13973, 183.99896240234375, 327.31292724609375
96, -1131.603675365448, 2, 13.205040855995321, 299, 14272,                                             14272, 184.90199279785156, 326.9267272949219
97, -817.3878402709961, 2, 8.700303161000193, 188, 14460,                                             14460, 192.8026885986328, 326.4822692871094
98, -495.9040093421936, 2, 4.6778201069973875, 101, 14561,                                             14561, 189.76202392578125, 326.34832763671875
99, -732.3317601680756, 2, 8.973698144000082, 199, 14760,                                             14760, 184.87435913085938, 326.2648010253906
100, -556.1194517612457, 2, 5.138055835996056, 118, 14878,                                             14878, 182.4940643310547, 325.4764099121094
101, -734.8853626251221, 2, 8.493314006002038, 193, 15071,                                             15071, 177.64962768554688, 326.2809143066406
102, -507.5389633178711, 2, 6.354651514993748, 135, 15206,                                             15206, 202.19004821777344, 325.6654968261719
103, -866.8876688480377, 2, 8.963646306001465, 200, 15406,                                             15406, 186.74537658691406, 325.68487548828125
104, -431.87217926979065, 2, 3.4885300710011506, 79, 15485,                                             15485, 162.7698516845703, 325.3977355957031
105, -414.06702518463135, 2, 3.3581238690021564, 76, 15561,                                             15561, 207.52796936035156, 325.6929626464844
106, -416.2474217414856, 2, 4.6958246100039105, 105, 15666,                                             15666, 194.48245239257812, 325.6524658203125
107, -437.0092489719391, 2, 2.263163003997761, 52, 15718,                                             15718, 201.73265075683594, 324.71783447265625
108, -450.7279670238495, 2, 4.085519396998279, 89, 15807,                                             15807, 175.53628540039062, 325.0415954589844
109, -423.2190320491791, 2, 2.167160719000094, 48, 15855,                                             15855, 233.0367889404297, 324.9771728515625
110, -419.77009892463684, 2, 2.220552355000109, 47, 15902,                                             15902, 167.35650634765625, 325.38336181640625
111, -410.6552109718323, 2, 2.096116856999288, 45, 15947,                                             15947, 184.00411987304688, 325.1753845214844
112, -420.6130702495575, 2, 2.2054208729969105, 48, 15995,                                             15995, 167.5236358642578, 325.7835388183594
113, -615.4579455852509, 2, 6.001988773001358, 133, 16128,                                             16128, 188.28579711914062, 325.23699951171875
114, -475.9526505470276, 2, 2.8288727850012947, 62, 16190,                                             16190, 163.50367736816406, 325.39080810546875
115, -448.64622831344604, 2, 3.683677521003119, 85, 16275,                                             16275, 200.61795043945312, 325.3596496582031
116, -473.3757951259613, 2, 3.965745227993466, 90, 16365,                                             16365, 197.7496795654297, 325.345947265625
117, -574.9935011863708, 2, 6.763152521998563, 149, 16514,                                             16514, 190.95130920410156, 324.86529541015625
118, -449.29678606987, 2, 2.6418480580032337, 56, 16570,                                             16570, 191.52476501464844, 324.791015625
119, -643.8384301662445, 2, 6.261474334998638, 139, 16709,                                             16709, 228.3360137939453, 324.5736083984375
120, -502.6188497543335, 2, 4.498546775001159, 97, 16806,                                             16806, 200.39561462402344, 324.4319763183594
121, -412.1658012866974, 2, 2.0695781620015623, 46, 16852,                                             16852, 185.16941833496094, 323.4578552246094
122, -428.8759834766388, 2, 2.340255907998653, 50, 16902,                                             16902, 223.34495544433594, 323.7509765625
123, -703.9736979007721, 2, 8.472724380000727, 191, 17093,                                             17093, 189.38070678710938, 323.6040954589844
124, -818.2833783626556, 2, 8.303966018997016, 184, 17277,                                             17277, 212.04530334472656, 323.19287109375
125, -343.6092975139618, 2, 3.9995954710029764, 88, 17365,                                             17365, 207.51625061035156, 322.2351379394531
126, -417.4910695552826, 2, 2.1611592350018327, 47, 17412,                                             17412, 219.21224975585938, 321.6090087890625
127, -442.0278844833374, 2, 2.406633179001801, 53, 17465,                                             17465, 197.25450134277344, 322.3514404296875
128, -679.0200581550598, 2, 8.189732993996586, 182, 17647,                                             17647, 224.49725341796875, 321.6236267089844
129, -589.7093284130096, 2, 7.195534632002818, 157, 17804,                                             17804, 203.89950561523438, 321.24102783203125
130, -403.153648853302, 2, 1.9171243239979958, 43, 17847,                                             17847, 222.60208129882812, 320.9060363769531
131, -716.4046466350555, 2, 7.15023888599535, 161, 18008,                                             18008, 192.3427276611328, 320.89447021484375
132, -398.7965407371521, 2, 1.9280796540042502, 42, 18050,                                             18050, 223.21395874023438, 320.9021911621094
133, -457.4676229953766, 2, 3.6860082740022335, 85, 18135,                                             18135, 196.13902282714844, 321.0774230957031
134, -498.02254247665405, 2, 6.004705717001343, 134, 18269,                                             18269, 218.32717895507812, 320.9100341796875
135, -468.27275800704956, 2, 2.8012442480030586, 61, 18330,                                             18330, 201.85389709472656, 320.8562927246094
136, -439.1334545612335, 2, 2.441374639995047, 53, 18383,                                             18383, 221.12347412109375, 320.5417175292969
137, -413.05259346961975, 2, 2.1823006050035474, 46, 18429,                                             18429, 190.41671752929688, 320.4474792480469
138, -640.6890323162079, 2, 7.877219216999947, 167, 18596,                                             18596, 191.0189971923828, 320.2783508300781
139, -490.8926100730896, 2, 4.651110104001418, 100, 18696,                                             18696, 205.32000732421875, 320.4609069824219
140, -352.7149074077606, 2, 2.7676948990047094, 59, 18755,                                             18755, 196.7310333251953, 320.2254943847656
141, -485.2232925891876, 2, 5.7686692040006164, 131, 18886,                                             18886, 208.2371368408203, 319.5494689941406
142, -420.02830958366394, 2, 3.3922192769969115, 77, 18963,                                             18963, 215.5853729248047, 319.7629089355469
143, -440.55411076545715, 2, 5.236075346998405, 117, 19080,                                             19080, 182.02394104003906, 319.7974853515625
144, -456.46088576316833, 2, 5.527360757994757, 120, 19200,                                             19200, 214.59323120117188, 318.7153625488281
145, -430.0130045413971, 2, 2.269600703002652, 50, 19250,                                             19250, 186.47628784179688, 318.7976989746094
146, -425.64399814605713, 2, 3.58699692600203, 76, 19326,                                             19326, 248.5604248046875, 318.303955078125
147, -414.6089370250702, 2, 2.188045189002878, 47, 19373,                                             19373, 216.6079864501953, 318.2029113769531
148, -345.4118101596832, 2, 3.907133458997123, 88, 19461,                                             19461, 204.3380889892578, 317.7073059082031
149, -349.558709859848, 2, 2.6774421950030955, 58, 19519,                                             19519, 180.01658630371094, 317.59722900390625
150, -400.99654269218445, 2, 2.0208535120036686, 43, 19562,                                             19562, 219.93507385253906, 317.623779296875
151, -433.9711639881134, 2, 2.250533740996616, 51, 19613,                                             19613, 190.0778045654297, 317.67486572265625
152, -477.5800139904022, 2, 5.565477584001201, 128, 19741,                                             19741, 201.05654907226562, 317.685302734375
153, -436.09819746017456, 2, 3.780668716004584, 86, 19827,                                             19827, 206.8844451904297, 317.3222351074219
154, -1319.1242337226868, 2, 16.09458963799989, 358, 20185,                                             20185, 218.80084228515625, 316.7215881347656
155, -381.07869958877563, 2, 4.551139855000656, 100, 20285,                                             20285, 199.3036346435547, 315.5868835449219
156, -519.357831954956, 2, 6.168861892001587, 140, 20425,                                             20425, 216.42918395996094, 315.60601806640625
157, -397.0631432533264, 2, 1.8377591480020783, 42, 20467,                                             20467, 194.53807067871094, 315.7190856933594
158, -412.69674849510193, 2, 2.0214184900032706, 46, 20513,                                             20513, 210.0651092529297, 315.6030578613281
159, -398.05668687820435, 2, 1.9964564769979916, 42, 20555,                                             20555, 206.61062622070312, 314.6683044433594
160, -388.75663661956787, 2, 1.8265618559962604, 39, 20594,                                             20594, 226.23329162597656, 315.14947509765625
161, -491.76458621025085, 2, 4.66172364600061, 101, 20695,                                             20695, 190.28538513183594, 315.2790222167969
162, -361.03686594963074, 2, 4.5626990539967665, 95, 20790,                                             20790, 197.1731719970703, 315.1026916503906
163, -369.96431374549866, 2, 4.541273483002442, 96, 20886,                                             20886, 192.36041259765625, 314.5716857910156
164, -386.4018805027008, 2, 1.7939748889984912, 39, 20925,                                             20925, 244.78761291503906, 314.0664978027344
165, -493.4026050567627, 2, 4.768521856000007, 102, 21027,                                             21027, 197.1511688232422, 314.63043212890625
166, -615.9024980068207, 2, 7.843925177003257, 168, 21195,                                             21195, 218.40966796875, 313.2695617675781
167, -345.4825921058655, 2, 4.138539806001063, 88, 21283,                                             21283, 216.67576599121094, 313.3842468261719
168, -348.8798134326935, 2, 2.765487959004531, 59, 21342,                                             21342, 209.5561065673828, 313.2545166015625
