episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
101, -680.2189106941223, 2, 6.391788598994026, 180, 15058,                                             15058, 172.38722229003906, 325.7811279296875
102, -479.13609051704407, 2, 2.2871778859989718, 63, 15121,                                             15121, 158.33157348632812, 325.45172119140625
103, -441.5495038032532, 2, 3.061458522999601, 84, 15205,                                             15205, 184.38009643554688, 324.96490478515625
104, -775.5438039302826, 2, 7.493515091002337, 210, 15415,                                             15415, 180.973388671875, 325.46771240234375
105, -561.6783068180084, 2, 4.148752601999149, 115, 15530,                                             15530, 184.88197326660156, 325.8395690917969
106, -654.9608829021454, 2, 6.3750901549938135, 174, 15704,                                             15704, 204.8217315673828, 324.94635009765625
107, -571.798614025116, 2, 3.2158994170022197, 89, 15793,                                             15793, 212.9596405029297, 324.68988037109375
108, -766.151992559433, 2, 7.433857734999037, 206, 15999,                                             15999, 180.33677673339844, 324.896240234375
109, -516.625982761383, 2, 2.616332354999031, 73, 16072,                                             16072, 215.55593872070312, 323.8494873046875
110, -2106.2685420513153, 3, 19.87187734500185, 553, 16625,                                             16625, 186.52342224121094, 323.88006591796875
