episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -644.7476682662964, 2, 1.5914143399986642, 129, 129,                                             129, 8.011520385742188, 0.013525279238820076
2, -589.6464750766754, 2, 2.692736913999397, 138, 267,                                             267, 637.0435180664062, 4.53998327255249
3, -378.6853792667389, 2, 0.9639485179995972, 44, 311,                                             311, 731.7946166992188, 7.694605827331543
4, -576.6684288978577, 2, 2.3908644300008746, 126, 437,                                             437, 880.8720703125, 7.226939678192139
5, -841.4693050384521, 3, 4.947002657998382, 252, 689,                                             689, 651.2662353515625, 10.571730613708496
6, -955.4244430065155, 3, 5.001723243000015, 263, 952,                                             952, 403.2716064453125, 11.409358024597168
7, -923.4552230834961, 3, 5.006566026000655, 250, 1202,                                             1202, 336.80499267578125, 14.710914611816406
8, -906.7475790977478, 3, 4.993100305999178, 272, 1474,                                             1474, 316.5862121582031, 18.175344467163086
9, -915.6680288314819, 3, 5.013436527999147, 270, 1744,                                             1744, 330.6531066894531, 22.1488037109375
10, -912.273600101471, 3, 4.999796910999066, 273, 2017,                                             2017, 289.473388671875, 26.515785217285156
11, -887.4707877635956, 3, 4.990941060001205, 268, 2285,                                             2285, 267.799072265625, 30.84672737121582
12, -978.5917046070099, 3, 5.006991177999225, 271, 2556,                                             2556, 303.1919860839844, 35.137046813964844
13, -897.2150619029999, 3, 5.002281697001308, 271, 2827,                                             2827, 298.74041748046875, 38.868797302246094
14, -964.7731556892395, 3, 5.002775887000098, 273, 3100,                                             3100, 242.85711669921875, 43.288963317871094
15, -909.9335401058197, 3, 5.008350395999514, 273, 3373,                                             3373, 242.27520751953125, 48.26477813720703
16, -911.7868402004242, 3, 5.009884337998301, 274, 3647,                                             3647, 210.37905883789062, 52.47615432739258
17, -890.2839608192444, 3, 4.984232057999179, 268, 3915,                                             3915, 221.61009216308594, 56.48335647583008
18, -893.1749937534332, 3, 5.015276819000064, 269, 4184,                                             4184, 197.56304931640625, 60.343414306640625
19, -888.5640554428101, 3, 5.0012380850002955, 272, 4456,                                             4456, 192.6314697265625, 64.48664093017578
20, -914.1441698074341, 3, 5.007975740998518, 274, 4730,                                             4730, 168.99978637695312, 68.32018280029297
21, -906.2483236789703, 3, 5.002045031000307, 270, 5000,                                             5000, 158.53656005859375, 71.98635864257812
22, -890.2557289600372, 3, 4.993628711999918, 271, 5271,                                             5271, 168.76235961914062, 76.00743103027344
23, -882.3119542598724, 3, 5.004567500000121, 265, 5536,                                             5536, 157.88037109375, 79.93507385253906
24, -899.2176561355591, 3, 4.9988716619991465, 272, 5808,                                             5808, 144.8873748779297, 83.69120025634766
25, -970.0371181964874, 3, 4.999532031999479, 270, 6078,                                             6078, 135.34732055664062, 87.40288543701172
26, -901.1902933120728, 3, 5.017006668998874, 272, 6350,                                             6350, 132.1602783203125, 90.76177215576172
27, -959.9632065296173, 3, 4.9972705009986385, 273, 6623,                                             6623, 114.81328582763672, 94.6368637084961
28, -904.8866200447083, 3, 5.000053080999351, 274, 6897,                                             6897, 115.04132080078125, 98.12358856201172
29, -906.9838271141052, 3, 5.000720006000847, 273, 7170,                                             7170, 118.6032943725586, 101.63046264648438
30, -970.5723283290863, 3, 5.010011358999691, 273, 7443,                                             7443, 108.75829315185547, 104.79378509521484
31, -905.7111582756042, 3, 5.01002288699965, 271, 7714,                                             7714, 93.8357162475586, 108.130859375
32, -902.9707100391388, 3, 4.986685926000064, 268, 7982,                                             7982, 98.36859130859375, 111.42587280273438
33, -912.2020919322968, 3, 5.009885169998597, 275, 8257,                                             8257, 100.87899017333984, 114.36382293701172
34, -906.7319762706757, 3, 4.998396126999069, 275, 8532,                                             8532, 94.19539642333984, 118.12834167480469
35, -914.397002696991, 3, 5.008738305999941, 272, 8804,                                             8804, 100.08494567871094, 121.64402770996094
36, -965.9192872047424, 3, 5.005248556999504, 273, 9077,                                             9077, 92.11539459228516, 124.50244903564453
37, -879.1284594535828, 3, 4.99643586899947, 265, 9342,                                             9342, 86.51273345947266, 127.47608947753906
38, -900.5837254524231, 3, 4.999356770000304, 273, 9615,                                             9615, 103.53640747070312, 129.77658081054688
39, -955.2614800930023, 3, 5.016454618000353, 267, 9882,                                             9882, 88.83478546142578, 132.9865264892578
40, -915.6215252876282, 3, 4.995517287999974, 272, 10154,                                             10154, 86.13777160644531, 135.39085388183594
41, -907.091810464859, 3, 4.997446751000098, 270, 10424,                                             10424, 92.36994171142578, 138.6034698486328
42, -949.953483581543, 3, 5.0098260729992035, 271, 10695,                                             10695, 79.52472686767578, 141.06968688964844
43, -900.3823947906494, 3, 5.011019595998732, 272, 10967,                                             10967, 83.56755065917969, 144.0628662109375
44, -892.7927289009094, 3, 4.990254267999262, 272, 11239,                                             11239, 88.65132904052734, 147.2022705078125
45, -980.1001811027527, 3, 5.00171955299993, 273, 11512,                                             11512, 73.39936828613281, 149.3135528564453
46, -918.2669847011566, 3, 5.00075149300028, 274, 11786,                                             11786, 77.69754028320312, 151.99163818359375
47, -887.9060215950012, 3, 5.006729591999829, 274, 12060,                                             12060, 71.9078598022461, 154.66783142089844
48, -896.454273223877, 3, 5.007570149000458, 271, 12331,                                             12331, 73.5458984375, 157.2814178466797
49, -895.8923122882843, 3, 4.993289261999962, 271, 12602,                                             12602, 78.31888580322266, 159.79124450683594
50, 297.6333312988281, 1, 0.02878850699926261, 1, 12603,                                             12603, 14.910660743713379, 158.96917724609375
51, -950.7958190441132, 3, 4.970051873000557, 272, 12875,                                             12800, 84.40191650390625, 162.46505737304688
52, -981.3072094917297, 3, 5.012450001000616, 274, 13149,                                             12800, 104.21946716308594, 165.10780334472656
53, -893.6969146728516, 3, 5.005969952999294, 273, 13422,                                             12800, 95.9547348022461, 167.6024627685547
54, -882.4958648681641, 3, 5.005931476000114, 271, 13693,                                             12800, 81.8978500366211, 169.5716552734375
55, -962.3631572723389, 3, 5.0048579409995, 274, 13967,                                             12800, 83.27716827392578, 171.4879150390625
56, 39.968621492385864, 1, 1.810855667999931, 99, 14066,                                             12800, 97.15491485595703, 173.4801788330078
57, -901.0221190452576, 3, 4.946065418000217, 272, 14338,                                             12800, 95.01768493652344, 175.23696899414062
58, -987.1727035045624, 3, 4.988388179001049, 268, 14606,                                             12800, 161.13819885253906, 179.40931701660156
59, -286.61049008369446, 2, 0.5690600110010564, 31, 14637,                                             12800, 250.8680877685547, 186.2018585205078
60, -272.8503885269165, 2, 0.5508174560000043, 29, 14666,                                             12800, 278.8691711425781, 185.6726531982422
61, -1012.5342109203339, 3, 4.8939167899989116, 267, 14933,                                             12800, 82.01871490478516, 182.62637329101562
62, -872.6112768650055, 3, 4.999990337000781, 272, 15205,                                             12800, 146.31787109375, 185.42892456054688
63, -892.3629961013794, 3, 4.987999248000051, 271, 15476,                                             12800, 142.14747619628906, 187.85951232910156
64, -864.9367973804474, 3, 5.00284991999979, 273, 15749,                                             12800, 114.32723236083984, 190.0712890625
65, -976.1166667938232, 3, 5.010819979999724, 263, 16012,                                             12800, 108.47809600830078, 192.19570922851562
66, -841.1706268787384, 3, 4.99415843099996, 256, 16268,                                             12800, 98.77809143066406, 194.07215881347656
67, -844.7471759319305, 3, 5.022142617999634, 251, 16519,                                             12800, 91.8885498046875, 195.578125
68, -860.6004917621613, 3, 4.993482500000027, 256, 16775,                                             12800, 108.78703308105469, 197.97483825683594
