episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
501, 2235.370137527585, 1, 2.6468004250000376, 222, 78827,                                             25600, 87722.5234375, 340.2500305175781
502, -2463.6601934358478, 2, 2.2641321469998275, 219, 79046,                                             25600, 69991.859375, 318.2769470214844
503, -3153.6624464839697, 2, 3.029154027000004, 287, 79333,                                             25600, 76773.1328125, 290.8941345214844
504, -1500.480865032645, 2, 1.4654732970000168, 146, 79479,                                             25600, 72960.984375, 318.8713684082031
505, 2641.573304757476, 1, 2.2792016569999305, 214, 79693,                                             25600, 74604.3515625, 321.67144775390625
506, -2823.18145939894, 2, 2.563500062000003, 240, 79933,                                             25600, 79657.3828125, 330.1283264160156
507, -2430.7568998858333, 2, 2.229564155000162, 209, 80142,                                             25600, 74015.5703125, 309.89483642578125
508, -3161.640587359667, 2, 0.9612727300000188, 95, 80237,                                             25600, 91709.84375, 360.9532775878906
509, -2165.1709121651947, 2, 2.0857656220000536, 200, 80437,                                             25600, 76684.296875, 376.99359130859375
510, 3176.30845974799, 1, 1.3404645040000105, 128, 80565,                                             25600, 66858.015625, 352.46148681640625
511, -2409.5012874789536, 2, 2.2350424549999843, 214, 80779,                                             25600, 71362.125, 387.4472351074219
512, -4459.360450714827, 2, 2.172012850999863, 216, 80995,                                             25600, 71860.9453125, 403.7517395019531
513, -2040.6394648449495, 2, 1.8934105920000093, 177, 81172,                                             25600, 85838.6796875, 406.021240234375
514, -2107.7795141600072, 2, 1.980599249000079, 189, 81361,                                             25600, 81448.265625, 442.3409423828125
515, -3660.5822430998087, 2, 1.4485163679999005, 145, 81506,                                             25600, 81601.9140625, 450.4611511230469
516, -3730.985660672188, 2, 1.278778273999933, 127, 81633,                                             25600, 80650.734375, 435.4960632324219
517, -2078.5554532092065, 2, 2.150264332000006, 211, 81844,                                             25600, 70896.78125, 454.7542724609375
518, 3229.4215360133385, 1, 1.3846690819998457, 129, 81973,                                             25600, 78982.71875, 471.1437072753906
519, -2428.2602393408306, 2, 2.4288627669998277, 236, 82209,                                             25600, 73926.9296875, 466.53271484375
520, 3136.3261489332654, 1, 2.119422228000076, 197, 82406,                                             25600, 80609.6875, 444.9088134765625
521, -1999.8601382863708, 2, 1.4164812609999444, 141, 82547,                                             25600, 77472.25, 448.2239074707031
522, 3235.729581763502, 1, 1.9653311039999153, 186, 82733,                                             25600, 85064.875, 421.99407958984375
523, 3198.8613534271717, 1, 1.4506262820000302, 136, 82869,                                             25600, 82998.25, 436.0288391113281
524, -1684.7176061710343, 2, 1.2918624530000216, 123, 82992,                                             25600, 85052.84375, 418.8300476074219
525, 3010.982005951926, 1, 2.227872531999992, 213, 83205,                                             25600, 71932.625, 427.1082763671875
526, -2998.4219347685575, 2, 1.0023621670000011, 97, 83302,                                             25600, 80625.125, 479.58062744140625
527, 3028.265660707839, 1, 2.37648696999986, 227, 83529,                                             25600, 75063.4921875, 491.7943420410156
528, 3232.0546121094376, 1, 2.0253187309999703, 193, 83722,                                             25600, 86067.6953125, 495.4539794921875
529, 3275.7935272604227, 1, 1.7756992600000103, 169, 83891,                                             25600, 78023.59375, 501.61456298828125
530, -2157.5867326864973, 2, 2.412447317999977, 230, 84121,                                             25600, 76330.6015625, 488.7972106933594
531, 3083.548546841368, 1, 2.291581373000099, 216, 84337,                                             25600, 78097.59375, 479.2221984863281
532, 3354.1595160048455, 1, 2.0264521590002005, 193, 84530,                                             25600, 70248.484375, 476.8604736328125
533, -1628.7581200031564, 2, 1.3293868569999177, 122, 84652,                                             25600, 74576.4765625, 471.9773864746094
534, -3987.9919891804457, 2, 1.2858196910001425, 125, 84777,                                             25600, 76816.7890625, 459.3395690917969
535, 3216.2648003268987, 1, 1.953791388000127, 185, 84962,                                             25600, 76351.4453125, 463.76495361328125
536, 3174.38374850899, 1, 2.134197218000054, 201, 85163,                                             25600, 70340.296875, 463.9954833984375
537, -1902.9672806337476, 2, 2.238733778000096, 212, 85375,                                             25600, 78920.015625, 495.9582824707031
538, -1825.986216711579, 2, 2.2542049500000303, 213, 85588,                                             25600, 76430.609375, 495.20184326171875
539, 3312.2886544652283, 1, 1.4282548379999298, 134, 85722,                                             25600, 79111.5390625, 476.13885498046875
540, 3062.1127069415525, 1, 2.3327442820000215, 221, 85943,                                             25600, 76181.0859375, 468.3962707519531
541, -1580.5546576190973, 2, 1.844681213000058, 174, 86117,                                             25600, 78184.0703125, 468.13360595703125
542, 3005.2835242729634, 1, 1.6586166770000546, 161, 86278,                                             25600, 77147.703125, 474.62744140625
543, 3383.7134672887623, 1, 1.6738487489999443, 157, 86435,                                             25600, 72101.734375, 482.68206787109375
544, -1750.8873926596716, 2, 1.8015775450001001, 173, 86608,                                             25600, 74574.828125, 475.89459228515625
545, 3342.3347959732637, 1, 1.793627749000052, 172, 86780,                                             25600, 74333.171875, 463.2593688964844
