episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
101, -622.2261476516724, 2, 0.6805714049987728, 22, 36807,                                             25600, 8654.36328125, 394.3436279296875
102, -904.9739084243774, 2, 0.752143839999917, 68, 36875,                                             25600, 2384.198974609375, 372.91485595703125
103, -451.65536737442017, 1, 0.7945549240030232, 70, 36945,                                             25600, 2096.27294921875, 378.7954406738281
104, -911.2618947029114, 2, 0.8556173929973738, 77, 37022,                                             25600, 2185.67529296875, 377.75048828125
105, -921.2202157974243, 2, 0.7458264719971339, 73, 37095,                                             25600, 2303.62939453125, 376.24554443359375
106, -829.6398067474365, 2, 0.7582397340011084, 67, 37162,                                             25600, 2504.0341796875, 375.4723205566406
107, -399.23651933670044, 1, 0.7641641189984512, 68, 37230,                                             25600, 2008.7685546875, 372.1582946777344
108, -466.1680660247803, 1, 0.7910112380050123, 71, 37301,                                             25600, 2275.393310546875, 374.5398254394531
109, -423.7750096321106, 1, 0.7511274279968347, 72, 37373,                                             25600, 2522.86083984375, 375.58941650390625
110, -393.34919691085815, 1, 0.7556694930026424, 68, 37441,                                             25600, 2439.494384765625, 371.3924560546875
111, -410.82977533340454, 1, 0.7615155780003988, 70, 37511,                                             25600, 1947.7899169921875, 369.4539489746094
112, -375.6721901893616, 1, 0.7566041109967045, 66, 37577,                                             25600, 2352.475341796875, 374.67987060546875
113, -457.35322618484497, 1, 0.7967589730033069, 71, 37648,                                             25600, 2393.84228515625, 369.63238525390625
114, -320.5738618373871, 1, 0.7086801409968757, 66, 37714,                                             25600, 1953.6561279296875, 364.6930236816406
115, -1014.8364448547363, 2, 0.9098913599955267, 83, 37797,                                             25600, 1815.4385986328125, 368.3388977050781
116, -415.3568081855774, 1, 0.7987249830039218, 71, 37868,                                             25600, 2030.5128173828125, 363.61480712890625
117, -439.3500518798828, 1, 0.7808022429962875, 72, 37940,                                             25600, 2317.615234375, 363.3437805175781
118, -471.42590737342834, 1, 0.8024975980006275, 72, 38012,                                             25600, 2352.21337890625, 366.560546875
119, -924.8694400787354, 2, 0.7635350810014643, 70, 38082,                                             25600, 2145.701904296875, 364.92041015625
120, -808.0281810760498, 2, 0.5548769870001706, 48, 38130,                                             25600, 2285.8896484375, 358.5149841308594
121, -413.1048345565796, 1, 0.7860531359983725, 71, 38201,                                             25600, 2310.155517578125, 357.3577575683594
122, -910.3835871219635, 2, 0.77267156799644, 67, 38268,                                             25600, 2419.26953125, 357.9864196777344
