episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -949.3410294055939, 2, 2.3096481200045673, 285, 285,                                             285, 13.858055114746094, 1.1798354387283325
2, -567.9223806858063, 2, 1.9799569659953704, 140, 425,                                             425, 357.4217529296875, 3.923025131225586
3, -569.792070388794, 2, 1.700926935998723, 108, 533,                                             533, 398.83111572265625, 5.6545329093933105
4, -719.5605149269104, 3, 2.428483071998926, 161, 694,                                             694, 457.61248779296875, 7.831423282623291
5, -742.6955480575562, 3, 2.5036012070049765, 174, 868,                                             868, 483.75421142578125, 10.472315788269043
6, -549.1384789943695, 2, 1.4447462200041628, 103, 971,                                             971, 550.7454833984375, 12.259571075439453
7, -454.38137650489807, 2, 1.290029850002611, 96, 1067,                                             1067, 480.6769714355469, 13.273067474365234
8, -814.8635265827179, 3, 2.506748678992153, 183, 1250,                                             1250, 465.94659423828125, 15.563164710998535
9, -569.4821088314056, 2, 1.5554418440005975, 115, 1365,                                             1365, 566.2371215820312, 18.647193908691406
10, -740.1191420555115, 3, 2.45032328000525, 179, 1544,                                             1544, 479.74139404296875, 20.8095703125
11, -501.8647680282593, 2, 1.1018093710008543, 83, 1627,                                             1627, 457.1125793457031, 23.330900192260742
12, -408.2287313938141, 2, 0.8533209290035302, 59, 1686,                                             1686, 425.11175537109375, 24.832059860229492
13, -414.9680359363556, 2, 0.8652249379956629, 62, 1748,                                             1748, 403.9124450683594, 25.935157775878906
14, -421.1094214916229, 2, 1.1199132879992248, 83, 1831,                                             1831, 509.1309814453125, 26.699548721313477
15, -514.185896396637, 2, 1.3029657279985258, 97, 1928,                                             1928, 455.78265380859375, 28.606830596923828
16, -413.64823865890503, 2, 0.7809779259987408, 56, 1984,                                             1984, 427.8664855957031, 29.67934226989746
17, -528.0789942741394, 2, 1.3426124620018527, 101, 2085,                                             2085, 508.6977844238281, 32.019954681396484
18, -454.1315321922302, 3, 2.514735381002538, 91, 2176,                                             2176, 456.1453552246094, 33.20463943481445
19, -478.88724303245544, 2, 1.360178093003924, 79, 2255,                                             2255, 469.2185974121094, 34.865943908691406
20, -589.0371901988983, 2, 1.472489603998838, 109, 2364,                                             2364, 463.2601013183594, 37.95667266845703
21, -424.74932384490967, 2, 0.9353027070028475, 69, 2433,                                             2433, 438.0888366699219, 39.70412826538086
22, -568.1240882873535, 2, 1.3021506810036954, 100, 2533,                                             2533, 464.3177795410156, 41.28102493286133
23, -684.5166895389557, 3, 2.4221811989991693, 182, 2715,                                             2715, 387.890625, 43.257118225097656
24, -768.0951933860779, 3, 2.509575464995578, 187, 2902,                                             2902, 458.5487060546875, 46.90432357788086
25, -809.3006937503815, 3, 2.4941434349893825, 186, 3088,                                             3088, 384.4283142089844, 51.24040603637695
26, -806.0119919776917, 3, 2.503372535997187, 185, 3273,                                             3273, 382.5132141113281, 55.569393157958984
27, -800.0067846775055, 3, 2.4991250510065584, 185, 3458,                                             3458, 424.5115661621094, 58.291465759277344
28, -798.5813634395599, 3, 2.5045851319882786, 187, 3645,                                             3645, 376.95355224609375, 62.455360412597656
29, -807.702876329422, 3, 2.4926600069884444, 185, 3830,                                             3830, 351.06231689453125, 65.90629577636719
30, -755.4777750968933, 3, 2.497708940994926, 184, 4014,                                             4014, 365.83380126953125, 69.88246154785156
31, -735.0162568092346, 2, 2.491819137998391, 173, 4187,                                             4187, 357.1706848144531, 73.53602600097656
32, -814.5352892875671, 3, 2.519163638993632, 190, 4377,                                             4377, 342.540771484375, 75.33484649658203
33, -795.7631635665894, 3, 2.501602805001312, 179, 4556,                                             4556, 296.4822692871094, 79.82884216308594
34, -756.1712355613708, 3, 2.5075887819984928, 183, 4739,                                             4739, 340.04296875, 82.4498291015625
35, -750.0559270381927, 3, 2.4948852389934473, 183, 4922,                                             4922, 282.2020263671875, 86.41259002685547
36, -786.4023704528809, 3, 2.5015315240016207, 183, 5105,                                             5105, 300.0841064453125, 90.11639404296875
37, -505.884916305542, 2, 1.2947733159962809, 94, 5199,                                             5199, 247.16549682617188, 92.5209732055664
38, -795.0655298233032, 3, 2.4593128450069344, 187, 5386,                                             5386, 297.1214904785156, 94.67923736572266
39, -746.6045279502869, 3, 2.4974364480003715, 182, 5568,                                             5568, 267.3586120605469, 98.03939819335938
40, -786.5214779376984, 3, 2.496672644003411, 184, 5752,                                             5752, 246.9212188720703, 101.46107482910156
41, -803.0009872913361, 3, 2.505814313000883, 186, 5938,                                             5938, 219.85946655273438, 106.59217834472656
42, -799.02712059021, 3, 2.515971952001564, 187, 6125,                                             6125, 244.03768920898438, 110.32554626464844
43, -801.4703688621521, 3, 2.485828691002098, 188, 6313,                                             6313, 228.86231994628906, 113.2057113647461
44, -542.4473421573639, 2, 1.4220139389944961, 108, 6421,                                             6421, 215.5946044921875, 115.34380340576172
45, -808.3651056289673, 3, 2.450746871996671, 180, 6601,                                             6601, 198.52484130859375, 118.14440155029297
46, -797.6741480827332, 3, 2.502711024004384, 190, 6791,                                             6791, 219.4521026611328, 121.53562927246094
47, -756.9460146427155, 3, 2.5086225109989755, 184, 6975,                                             6975, 197.04417419433594, 124.45597076416016
48, -330.20265078544617, 2, 0.7167501770018134, 52, 7027,                                             7027, 180.71022033691406, 126.5107421875
49, -557.9764049053192, 2, 1.3646624589891871, 102, 7129,                                             7129, 178.90187072753906, 127.35606384277344
50, -371.77961230278015, 2, 0.59339886700036, 47, 7176,                                             7176, 146.11851501464844, 128.22994995117188
51, -386.89686465263367, 2, 0.667978055003914, 51, 7227,                                             7227, 170.3416748046875, 129.7330780029297
52, -526.9243104457855, 2, 1.3366602640016936, 96, 7323,                                             7323, 184.6154022216797, 130.3371124267578
53, -580.3401653766632, 2, 1.4447398599877488, 110, 7433,                                             7433, 181.10800170898438, 131.86936950683594
54, -779.4429185390472, 3, 2.500629090005532, 186, 7619,                                             7619, 166.9698486328125, 134.73898315429688
55, -539.6039984226227, 2, 1.3314508900075452, 100, 7719,                                             7719, 170.3225555419922, 137.20425415039062
56, -403.3501534461975, 2, 1.0180029469920555, 79, 7798,                                             7798, 176.38099670410156, 138.5582733154297
57, -666.5019869804382, 2, 2.344285208993824, 177, 7975,                                             7975, 160.26034545898438, 140.11912536621094
58, -380.48398637771606, 2, 0.6891815870039864, 50, 8025,                                             8025, 199.3652801513672, 141.59750366210938
59, -380.2592554092407, 2, 0.6866018970031291, 49, 8074,                                             8074, 135.25289916992188, 142.1958465576172
60, -597.7872197628021, 2, 2.0041299049917143, 151, 8225,                                             8225, 168.2705078125, 143.91746520996094
61, 143.52777814865112, 1, 0.8973550699884072, 67, 8292,                                             8292, 186.5425262451172, 145.58546447753906
62, -664.7068138122559, 2, 1.885142913000891, 141, 8433,                                             8433, 209.79965209960938, 147.19200134277344
63, -415.8063488006592, 2, 1.1101518799987389, 85, 8518,                                             8518, 307.04290771484375, 149.224365234375
64, -396.6755509376526, 2, 1.0421500210068189, 76, 8594,                                             8594, 213.0181427001953, 150.0913543701172
65, -409.8793349266052, 2, 0.7516841259930516, 59, 8653,                                             8653, 157.91563415527344, 150.7000274658203
66, -402.2759130001068, 2, 0.8203474079928128, 50, 8703,                                             8703, 150.70237731933594, 151.55477905273438
67, -428.2378783226013, 2, 0.8763466990058077, 64, 8767,                                             8767, 162.29812622070312, 151.93092346191406
68, -408.73520731925964, 2, 0.9214133610075805, 55, 8822,                                             8822, 204.0674591064453, 152.16456604003906
69, -454.7692413330078, 2, 0.9150807010009885, 69, 8891,                                             8891, 176.4236297607422, 153.27294921875
70, -433.0163571834564, 2, 0.8384339400072349, 66, 8957,                                             8957, 130.45132446289062, 153.99623107910156
71, -445.6072618961334, 2, 0.8789988229982555, 67, 9024,                                             9024, 102.47479248046875, 154.97862243652344
72, -437.7256796360016, 2, 0.8094841350102797, 65, 9089,                                             9089, 167.64895629882812, 154.99911499023438
73, -411.5181541442871, 2, 0.7217079020047095, 54, 9143,                                             9143, 165.2970733642578, 155.3956298828125
74, -434.3284475803375, 2, 0.8567528819985455, 62, 9205,                                             9205, 252.60189819335938, 156.92669677734375
75, -457.90545988082886, 2, 0.8987918229977367, 67, 9272,                                             9272, 128.50579833984375, 157.88108825683594
76, -441.36840438842773, 2, 0.8819332379935076, 65, 9337,                                             9337, 158.9412384033203, 158.03573608398438
77, -421.79130601882935, 2, 0.8278610020061024, 61, 9398,                                             9398, 200.05697631835938, 158.78604125976562
78, -431.97134041786194, 2, 0.8135033769940492, 65, 9463,                                             9463, 161.40109252929688, 159.61843872070312
79, -420.66640615463257, 2, 0.8262236390000908, 60, 9523,                                             9523, 116.73159790039062, 160.14932250976562
80, -466.88941407203674, 2, 0.9082207309984369, 67, 9590,                                             9590, 147.23277282714844, 161.0233917236328
81, -437.7570858001709, 2, 0.7735614350094693, 58, 9648,                                             9648, 109.75335693359375, 161.66319274902344
82, -402.19314193725586, 2, 0.7167041950015118, 51, 9699,                                             9699, 189.17825317382812, 161.92080688476562
83, -374.717689037323, 2, 0.6719477900041966, 48, 9747,                                             9747, 140.28500366210938, 162.6996307373047
84, -418.70795726776123, 2, 0.7743147299916018, 61, 9808,                                             9808, 141.94223022460938, 164.11215209960938
85, -407.4364893436432, 2, 0.6800095119979233, 50, 9858,                                             9858, 125.73150634765625, 164.15185546875
86, -368.45817589759827, 2, 0.6483603139931802, 46, 9904,                                             9904, 116.8377914428711, 165.11524963378906
87, -440.28144335746765, 2, 0.8798738490004325, 67, 9971,                                             9971, 99.18836975097656, 165.13104248046875
88, -462.28005051612854, 2, 0.8971209529991029, 69, 10040,                                             10040, 118.88268280029297, 166.31396484375
89, -506.47376894950867, 2, 1.087086001993157, 79, 10119,                                             10119, 104.95834350585938, 167.22288513183594
90, -472.06706261634827, 2, 0.8795279479963938, 68, 10187,                                             10187, 98.59611511230469, 167.76055908203125
91, -448.9440264701843, 2, 0.8719879390118876, 63, 10250,                                             10250, 218.783203125, 168.3723907470703
92, -389.25938963890076, 2, 0.6842455960140796, 51, 10301,                                             10301, 89.83605194091797, 169.3862762451172
93, -489.79366397857666, 2, 1.0998564190085744, 82, 10383,                                             10383, 136.36895751953125, 169.91537475585938
94, -452.71595883369446, 2, 0.9254124910075916, 68, 10451,                                             10451, 131.4162139892578, 171.71131896972656
95, -449.1183080673218, 2, 0.9791893490037182, 72, 10523,                                             10523, 96.79287719726562, 172.5052947998047
96, -591.9080319404602, 2, 1.4847882260073675, 110, 10633,                                             10633, 186.72352600097656, 173.12498474121094
97, -430.4611701965332, 2, 0.9400256319931941, 69, 10702,                                             10702, 84.84442901611328, 174.04165649414062
98, -667.6769919395447, 2, 2.248327610999695, 172, 10874,                                             10874, 133.05923461914062, 175.20156860351562
99, -521.0565114021301, 2, 1.14856464699551, 86, 10960,                                             10960, 139.71994018554688, 176.95370483398438
100, -668.1291952133179, 2, 2.2900267539953347, 174, 11134,                                             11134, 207.5093231201172, 177.92556762695312
101, -597.9563298225403, 2, 2.038119201999507, 151, 11285,                                             11285, 135.58045959472656, 179.45361328125
102, -426.30439710617065, 2, 0.9030813489953289, 66, 11351,                                             11351, 83.94837951660156, 179.84164428710938
103, -416.07920956611633, 2, 0.7540221340022981, 56, 11407,                                             11407, 87.80157470703125, 182.00450134277344
104, -686.3591334819794, 2, 2.156929955992382, 162, 11569,                                             11569, 103.46604919433594, 182.61961364746094
105, -463.1791009902954, 2, 0.9042536609922536, 67, 11636,                                             11636, 78.1654281616211, 183.5431365966797
106, -497.299462556839, 2, 1.0465345759876072, 79, 11715,                                             11715, 137.09671020507812, 184.9994659423828
107, -683.3985688686371, 2, 2.0929794059920823, 160, 11875,                                             11875, 123.86958312988281, 186.11001586914062
108, -442.6289908885956, 2, 0.8827563100057887, 66, 11941,                                             11941, 77.52924346923828, 187.14773559570312
109, -566.788328409195, 2, 1.4540486829937436, 106, 12047,                                             12047, 101.91126251220703, 187.96815490722656
110, -650.5150029659271, 2, 1.8751621809933567, 141, 12188,                                             12188, 97.19297790527344, 189.61766052246094
111, -731.8283910751343, 3, 2.417449497996131, 182, 12370,                                             12370, 134.13055419921875, 190.73004150390625
112, -539.3354263305664, 2, 1.2791590100096073, 94, 12464,                                             12464, 100.52730560302734, 192.21658325195312
113, -548.2535934448242, 2, 1.3978041660011513, 102, 12566,                                             12566, 70.06591033935547, 193.67779541015625
114, -443.1211316585541, 2, 0.9361205599998357, 70, 12636,                                             12636, 74.35958099365234, 195.3431854248047
115, -443.82366704940796, 2, 0.9024326089856913, 66, 12702,                                             12702, 116.548095703125, 195.07711791992188
116, -589.4456121921539, 2, 1.5889743300067494, 121, 12823,                                             12800, 95.33257293701172, 197.2618865966797
117, -464.19984579086304, 2, 1.1004885339934845, 82, 12905,                                             12800, 144.5847930908203, 197.3790740966797
118, -733.1604824066162, 2, 2.1347099379927386, 160, 13065,                                             12800, 118.8345947265625, 199.75491333007812
119, -432.42294454574585, 2, 0.9397787259949837, 69, 13134,                                             12800, 74.66276550292969, 200.41171264648438
120, -545.6631133556366, 2, 1.4461138560000109, 105, 13239,                                             12800, 61.12262725830078, 201.80807495117188
121, -589.7728633880615, 2, 1.4794131259986898, 113, 13352,                                             12800, 87.16515350341797, 203.1000518798828
122, -436.1389853954315, 2, 0.9333598550001625, 70, 13422,                                             12800, 65.86907958984375, 204.1937713623047
123, -501.25174713134766, 2, 1.2049378420051653, 88, 13510,                                             12800, 118.3869857788086, 204.54132080078125
124, -444.39333868026733, 2, 0.9413812150014564, 76, 13586,                                             12800, 56.59104537963867, 205.26734924316406
125, -581.1854412555695, 2, 1.607411442004377, 119, 13705,                                             12800, 61.96189880371094, 206.61634826660156
126, -401.7917449474335, 2, 0.8630294689937728, 52, 13757,                                             12800, 105.22388458251953, 207.66546630859375
127, -541.4130766391754, 2, 1.2881701439910103, 100, 13857,                                             12800, 92.0146255493164, 208.38543701171875
128, -496.92261695861816, 2, 1.340282181990915, 92, 13949,                                             12800, 121.63970947265625, 209.88914489746094
129, -636.9174950122833, 2, 1.6592137189873029, 125, 14074,                                             12800, 56.51215362548828, 210.57232666015625
130, -693.1175284385681, 2, 2.050846605008701, 153, 14227,                                             12800, 75.27806091308594, 211.8905487060547
131, -777.0257430076599, 3, 2.4074537270062137, 178, 14405,                                             12800, 56.38741683959961, 213.75230407714844
132, -787.7644250392914, 3, 2.491654905010364, 187, 14592,                                             12800, 71.12964630126953, 215.53494262695312
133, -759.0311644077301, 3, 2.5438863080053125, 186, 14778,                                             12800, 83.16062927246094, 217.9268341064453
134, -763.2068076133728, 3, 2.465301472999272, 184, 14962,                                             12800, 106.63384246826172, 219.76089477539062
135, -611.6847865581512, 2, 1.7113899429969024, 127, 15089,                                             12800, 91.47186279296875, 220.69895935058594
136, -755.3640234470367, 3, 2.4081416459957836, 184, 15273,                                             12800, 44.520057678222656, 222.4716796875
137, -576.6621470451355, 2, 1.5326035379985115, 114, 15387,                                             12800, 49.470619201660156, 222.8538818359375
138, -804.7655873298645, 3, 2.466212817991618, 186, 15573,                                             12800, 90.5556640625, 224.8661651611328
139, -814.1477425098419, 3, 2.51101382500201, 192, 15765,                                             12800, 72.21000671386719, 227.1374053955078
140, -809.4290130138397, 3, 2.501711527002044, 186, 15951,                                             12800, 67.85646057128906, 228.18812561035156
141, -808.4354186058044, 3, 2.4917348790040705, 185, 16136,                                             12800, 70.0289306640625, 229.8755340576172
142, -812.4614007472992, 3, 2.505024791986216, 192, 16328,                                             12800, 48.78611373901367, 231.12879943847656
143, -501.21937584877014, 2, 1.2639202870050212, 89, 16417,                                             12800, 34.99644470214844, 232.5668182373047
144, -759.6137459278107, 3, 2.4879139330005273, 173, 16590,                                             12800, 83.16539001464844, 233.2395477294922
145, -799.5646271705627, 3, 2.499982380992151, 190, 16780,                                             12800, 63.9103889465332, 234.97946166992188
146, -646.140615940094, 2, 1.8772961979993852, 143, 16923,                                             12800, 69.84412384033203, 236.20339965820312
147, -556.3799364566803, 2, 1.309909517003689, 100, 17023,                                             12800, 60.885684967041016, 237.21832275390625
148, -525.8829226493835, 2, 1.3539952389983227, 98, 17121,                                             12800, 31.331087112426758, 238.7442169189453
149, -591.2878377437592, 2, 1.5646950070076855, 120, 17241,                                             12800, 53.76099395751953, 239.12057495117188
150, -703.0030701160431, 3, 2.5242335200018715, 190, 17431,                                             12800, 60.122467041015625, 240.1591339111328
