episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1901, 115.34239554405212, 1, 2.224910346994875, 100, 283837,                                             25600, 353.5050354003906, 191.82504272460938
1902, -383.37564516067505, 2, 1.6932063489948632, 87, 283924,                                             25600, 316.8190002441406, 189.652099609375
1903, -394.731618642807, 2, 1.758639695995953, 92, 284016,                                             25600, 304.0113220214844, 191.72158813476562
1904, -387.9704089164734, 2, 1.9604389010055456, 101, 284117,                                             25600, 340.8328552246094, 188.6001434326172
1905, -414.2379195690155, 2, 2.168983247000142, 112, 284229,                                             25600, 335.8876953125, 188.0022430419922
1906, -376.1711211204529, 2, 1.6348715289932443, 84, 284313,                                             25600, 326.9281921386719, 189.13504028320312
1907, -376.8676109313965, 2, 1.6432956420030678, 84, 284397,                                             25600, 327.84942626953125, 187.53466796875
1908, 27.750221729278564, 1, 2.647663050011033, 138, 284535,                                             25600, 366.1104431152344, 186.6340789794922
1909, -346.57896065711975, 2, 0.9543484239984537, 49, 284584,                                             25600, 386.614990234375, 186.41204833984375
1910, 93.7402594089508, 1, 2.110527582000941, 110, 284694,                                             25600, 342.4200744628906, 186.74737548828125
1911, 86.08025789260864, 1, 2.184309171003406, 112, 284806,                                             25600, 327.0350036621094, 189.3087921142578
1912, 90.97561550140381, 1, 2.1245826829981524, 111, 284917,                                             25600, 299.7431335449219, 187.6671600341797
1913, -440.2331440448761, 2, 2.351442593993852, 122, 285039,                                             25600, 330.66778564453125, 186.07333374023438
1914, 78.9869315624237, 1, 2.2586627149867127, 115, 285154,                                             25600, 316.7135925292969, 185.4170684814453
1915, -407.354620218277, 2, 1.8683252299961168, 96, 285250,                                             25600, 380.2501220703125, 182.6586151123047
1916, 95.74434566497803, 1, 2.094872389003285, 108, 285358,                                             25600, 363.3077697753906, 183.96153259277344
1917, 86.8799216747284, 1, 2.192593478001072, 112, 285470,                                             25600, 367.08099365234375, 182.59422302246094
1918, 63.260305643081665, 1, 2.4028771669982234, 123, 285593,                                             25600, 326.9891357421875, 179.9325714111328
1919, 94.2430067062378, 1, 2.110873277008068, 109, 285702,                                             25600, 349.1091003417969, 179.06826782226562
1920, -454.9782819747925, 2, 2.4058922980038915, 126, 285828,                                             25600, 364.49884033203125, 178.32041931152344
1921, -390.3314166069031, 2, 1.9409250919998158, 102, 285930,                                             25600, 320.3180236816406, 179.842529296875
1922, 75.0355167388916, 1, 2.2269960240082582, 115, 286045,                                             25600, 356.740478515625, 178.2192840576172
1923, -379.711971282959, 2, 1.654942225999548, 85, 286130,                                             25600, 378.95263671875, 175.74560546875
1924, -370.65973687171936, 2, 1.6029265079996549, 82, 286212,                                             25600, 372.5322570800781, 179.30145263671875
1925, -422.16706824302673, 2, 2.1842114120081533, 113, 286325,                                             25600, 315.26953125, 176.7787628173828
1926, -359.71080350875854, 2, 1.4986788770038402, 76, 286401,                                             25600, 343.6080322265625, 177.0221710205078
1927, -371.24679136276245, 2, 1.598525666995556, 82, 286483,                                             25600, 346.57794189453125, 177.94090270996094
1928, 95.25893139839172, 1, 2.101663819994428, 109, 286592,                                             25600, 338.5228271484375, 176.66526794433594
1929, -445.22491359710693, 2, 2.4069714860088425, 124, 286716,                                             25600, 390.34088134765625, 172.00567626953125
1930, -450.34844517707825, 2, 2.217930387996603, 114, 286830,                                             25600, 358.80072021484375, 172.0471649169922
1931, 107.84481143951416, 1, 2.086579625000013, 104, 286934,                                             25600, 359.62799072265625, 171.08502197265625
1932, 81.06484866142273, 1, 2.2312041819968726, 114, 287048,                                             25600, 338.7611999511719, 173.4916229248047
1933, -381.11183977127075, 2, 1.6636816779937362, 86, 287134,                                             25600, 370.6493835449219, 171.82022094726562
1934, -377.27766609191895, 2, 1.395885805002763, 73, 287207,                                             25600, 337.4253845214844, 171.0057830810547
1935, 52.60706925392151, 1, 2.4064129129983485, 126, 287333,                                             25600, 338.8431396484375, 170.93014526367188
1936, -390.9481556415558, 2, 1.9387301460083108, 100, 287433,                                             25600, 307.724365234375, 173.4443817138672
1937, -392.58987522125244, 2, 1.9726719360041898, 102, 287535,                                             25600, 368.9284973144531, 172.42617797851562
1938, -380.52568316459656, 2, 1.646309576011845, 84, 287619,                                             25600, 340.135009765625, 170.0176544189453
1939, 86.93099808692932, 1, 2.1710563719971105, 112, 287731,                                             25600, 315.3263244628906, 170.14512634277344
1940, 37.30616569519043, 1, 2.514082697001868, 131, 287862,                                             25600, 350.531005859375, 165.40750122070312
1941, -419.3714952468872, 2, 1.9847423010069178, 100, 287962,                                             25600, 367.09832763671875, 167.78981018066406
1942, 80.73497891426086, 1, 2.2443754130072193, 115, 288077,                                             25600, 348.992431640625, 168.8402099609375
1943, -389.53605222702026, 2, 1.9631675249984255, 101, 288178,                                             25600, 335.2718811035156, 164.70831298828125
1944, -370.7577848434448, 2, 1.5453462400037097, 81, 288259,                                             25600, 350.15838623046875, 166.81417846679688
1945, -377.0877959728241, 2, 1.591810527999769, 84, 288343,                                             25600, 358.6380310058594, 166.50588989257812
1946, 41.73817443847656, 1, 2.490977911002119, 130, 288473,                                             25600, 330.9826965332031, 164.89126586914062
1947, -376.0095360279083, 2, 1.5909898389945738, 83, 288556,                                             25600, 351.5343322753906, 165.16812133789062
1948, -365.6475431919098, 2, 1.5249330399965402, 79, 288635,                                             25600, 392.5567321777344, 165.66744995117188
1949, 51.39498424530029, 1, 2.399562436999986, 124, 288759,                                             25600, 355.9350891113281, 161.00624084472656
1950, 58.21689534187317, 1, 2.3585407589998795, 123, 288882,                                             25600, 382.9485168457031, 162.4479522705078
1951, 65.57220816612244, 1, 2.2335989080020227, 119, 289001,                                             25600, 360.33673095703125, 162.45849609375
1952, -373.64507484436035, 2, 1.6290660520025995, 83, 289084,                                             25600, 372.2464599609375, 165.1055145263672
1953, 57.95254969596863, 1, 2.341278555992176, 122, 289206,                                             25600, 350.8830871582031, 158.75283813476562
1954, -374.53926181793213, 2, 1.6515221380104776, 83, 289289,                                             25600, 328.7166442871094, 159.34803771972656
1955, -410.57710003852844, 2, 1.9293355450063245, 98, 289387,                                             25600, 412.0755310058594, 158.8622283935547
