episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7001, 48.68008995056152, 1, 8.053211535006994, 230, 1280231,                                             128000, 213.34872436523438, 71.0875244140625
7002, -496.9717035293579, 2, 8.20418477000203, 242, 1280473,                                             128000, 220.30804443359375, 70.50702667236328
7003, 68.82545042037964, 1, 7.660607741010608, 223, 1280696,                                             128000, 220.95553588867188, 71.21643829345703
7004, 36.61339497566223, 1, 7.970636234997073, 233, 1280929,                                             128000, 201.58067321777344, 71.09367370605469
7005, -400.2151174545288, 2, 7.185448005009675, 207, 1281136,                                             128000, 214.1809539794922, 72.9935302734375
7006, -415.50131464004517, 2, 7.4000771830033045, 213, 1281349,                                             128000, 227.31407165527344, 69.56226348876953
7007, -390.54490542411804, 2, 7.194398325998918, 204, 1281553,                                             128000, 209.00450134277344, 72.11666870117188
7008, 19.402246475219727, 1, 8.342475158991874, 240, 1281793,                                             128000, 225.5850372314453, 71.86571502685547
7009, 50.60722231864929, 1, 7.895347023993963, 229, 1282022,                                             128000, 225.53057861328125, 71.5537338256836
7010, -406.76664090156555, 2, 7.322284056004719, 212, 1282234,                                             128000, 226.56736755371094, 68.49034881591797
7011, 29.25432538986206, 1, 8.211624884002958, 236, 1282470,                                             128000, 222.81532287597656, 70.52708435058594
