episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7601, -365.8812255859375, 2, 0.8120991650066571, 16, 566960,                                             51200, 11389.1796875, 177.14219665527344
7602, -274.40731143951416, 2, 0.12170055200112984, 3, 566963,                                             51200, 5979.05615234375, 227.4339599609375
7603, -327.4900140762329, 2, 0.3626646890043048, 10, 566973,                                             51200, 3236.23779296875, 206.16259765625
7604, -284.5868582725525, 2, 0.2305291069933446, 5, 566978,                                             51200, 2445.076171875, 173.52880859375
7605, -513.3985905647278, 2, 1.3353299779992085, 38, 567016,                                             51200, 1603.9361572265625, 208.9755859375
7606, -304.09549283981323, 2, 0.28149598199524917, 8, 567024,                                             51200, 1313.934814453125, 189.4749755859375
7607, -310.134428024292, 2, 0.25238943500153255, 7, 567031,                                             51200, 1466.5950927734375, 187.54598999023438
7608, -342.53220415115356, 2, 0.45442116100457497, 12, 567043,                                             51200, 1367.8353271484375, 187.2314910888672
7609, -292.910343170166, 2, 0.1908416360092815, 5, 567048,                                             51200, 1504.993408203125, 207.1853485107422
7610, -305.89280796051025, 2, 0.25653753300139215, 7, 567055,                                             51200, 1428.012451171875, 196.71658325195312
7611, -288.3936605453491, 2, 0.19053675500617828, 5, 567060,                                             51200, 1553.78125, 225.5085906982422
