episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7601, -1516.9030961990356, 2, 6.676307660003658, 180, 567124,                                             51200, 2515.200927734375, 195.10574340820312
7602, -1261.4509601593018, 1, 7.02903109700128, 200, 567324,                                             51200, 1497.8167724609375, 196.9345245361328
7603, -508.79047775268555, 2, 0.8096011040033773, 23, 567347,                                             51200, 1433.1044921875, 197.20481872558594
7604, -920.5199093818665, 1, 5.508042843997828, 162, 567509,                                             51200, 1514.482177734375, 194.1069793701172
7605, -842.5648097991943, 1, 4.599177883006632, 133, 567642,                                             51200, 1632.7537841796875, 196.14828491210938
7606, -1305.4266319274902, 1, 6.640209935998428, 197, 567839,                                             51200, 1658.301025390625, 193.3557891845703
7607, -699.8800687789917, 2, 1.2638945639919257, 37, 567876,                                             51200, 1631.0213623046875, 193.1379852294922
7608, -662.6060795783997, 1, 4.327796409997973, 127, 568003,                                             51200, 1635.47265625, 197.62648010253906
7609, -764.2662658691406, 2, 1.3836270199972205, 41, 568044,                                             51200, 1848.02978515625, 184.301513671875
7610, -633.6224093437195, 1, 4.416061775002163, 127, 568171,                                             51200, 1662.7340087890625, 195.08670043945312
7611, -1034.4622902870178, 1, 5.299415361994761, 157, 568328,                                             51200, 1626.5311279296875, 197.3113555908203
7612, -1432.6926946640015, 2, 3.984455960991909, 115, 568443,                                             51200, 1669.734375, 191.2418670654297
7613, -683.6104974746704, 1, 4.671746741994866, 138, 568581,                                             51200, 1635.9857177734375, 197.31298828125
7614, -1199.8788475990295, 1, 6.65632863000792, 195, 568776,                                             51200, 1756.14599609375, 189.77279663085938
7615, -1913.5787286758423, 2, 7.245486249987152, 212, 568988,                                             51200, 1749.2640380859375, 190.41200256347656
7616, -1152.8825235366821, 1, 5.830633046003641, 173, 569161,                                             51200, 1712.30810546875, 195.4978485107422
7617, -673.6104793548584, 2, 1.1996473360050004, 35, 569196,                                             51200, 1994.031494140625, 192.14218139648438
7618, -910.8706817626953, 1, 5.209350336997886, 151, 569347,                                             51200, 1822.2628173828125, 198.3578338623047
7619, -290.8721008300781, 2, 0.151375305998954, 4, 569351,                                             51200, 1538.6192626953125, 187.55831909179688
7620, -694.5120553970337, 1, 4.761049685999751, 140, 569491,                                             51200, 1692.2181396484375, 192.954833984375
7621, -1584.5477647781372, 2, 4.852320796999265, 144, 569635,                                             51200, 1691.383056640625, 194.18325805664062
7622, -651.5560946464539, 1, 4.33073343601427, 126, 569761,                                             51200, 1634.1240234375, 198.51173400878906
7623, -1093.8975677490234, 1, 6.3395407010102645, 186, 569947,                                             51200, 1660.7540283203125, 196.00534057617188
7624, -632.1828012466431, 2, 1.1785993820085423, 34, 569981,                                             51200, 1637.8966064453125, 200.1807861328125
7625, -449.7925491333008, 1, 3.456346943989047, 100, 570081,                                             51200, 1717.6611328125, 197.86846923828125
7626, -1159.8883862495422, 1, 6.240772990000551, 182, 570263,                                             51200, 1870.1143798828125, 201.43923950195312
7627, -1212.9467058181763, 1, 6.679591453998, 196, 570459,                                             51200, 1707.092041015625, 199.26600646972656
7628, -660.0897164344788, 1, 3.9788111220113933, 117, 570576,                                             51200, 1655.992919921875, 195.3181610107422
7629, -1188.4928183555603, 2, 3.9010597899905406, 113, 570689,                                             51200, 1648.5672607421875, 197.97471618652344
7630, -664.6287760734558, 1, 4.564522598986514, 130, 570819,                                             51200, 1605.1822509765625, 209.10028076171875
7631, -715.8925914764404, 2, 1.352271452997229, 40, 570859,                                             51200, 2091.23388671875, 193.34637451171875
7632, -1123.3454847335815, 1, 5.845972462004283, 169, 571028,                                             51200, 1627.080810546875, 199.32017517089844
7633, -715.1807079315186, 2, 1.3659838129970012, 40, 571068,                                             51200, 1689.19140625, 196.18408203125
7634, -1066.2000713348389, 1, 5.839293174998602, 170, 571238,                                             51200, 1720.319091796875, 197.63975524902344
7635, -816.3387136459351, 2, 1.5699145129910903, 46, 571284,                                             51200, 1818.3389892578125, 212.02662658691406
7636, -579.9480605125427, 1, 3.877164871999412, 113, 571397,                                             51200, 1752.22265625, 195.3380584716797
7637, -1421.7870745658875, 1, 7.609929615005967, 224, 571621,                                             51200, 1650.676025390625, 195.3337860107422
7638, -660.0631742477417, 2, 1.2090744500019355, 34, 571655,                                             51200, 1676.673095703125, 202.73245239257812
7639, -72.57605743408203, 1, 2.0487631839932874, 60, 571715,                                             51200, 1585.41064453125, 195.30862426757812
7640, -1375.5132150650024, 2, 4.988107559009222, 148, 571863,                                             51200, 1655.4991455078125, 198.48745727539062
7641, -551.9385848045349, 1, 4.04297744599171, 117, 571980,                                             51200, 1837.328125, 199.3166046142578
7642, -1268.133623600006, 1, 5.84934072100441, 170, 572150,                                             51200, 1738.4349365234375, 198.31442260742188
7643, -638.8185110092163, 2, 1.0691711599938571, 31, 572181,                                             51200, 1828.23583984375, 201.4109344482422
7644, -622.6472897529602, 1, 4.136441070993897, 121, 572302,                                             51200, 1635.62451171875, 203.6804962158203
7645, -804.6417260169983, 1, 5.496290638999199, 162, 572464,                                             51200, 1690.2869873046875, 197.56126403808594
7646, -793.5841526985168, 2, 2.37766564800404, 68, 572532,                                             51200, 1803.1875, 194.1885528564453
7647, -52.414329528808594, 1, 1.9790270150115248, 58, 572590,                                             51200, 1648.003173828125, 203.84707641601562
7648, -1198.466407775879, 2, 3.793057882998255, 113, 572703,                                             51200, 1593.241455078125, 195.38734436035156
7649, -1550.925127029419, 1, 7.678136515998631, 225, 572928,                                             51200, 1670.0242919921875, 203.2246856689453
7650, -711.0008850097656, 2, 1.3641923959949054, 41, 572969,                                             51200, 1946.4232177734375, 209.6491241455078
7651, -2106.1223464012146, 2, 9.0236704100098, 264, 573233,                                             51200, 1654.681640625, 207.5515899658203
7652, -610.5413293838501, 1, 4.038441115000751, 120, 573353,                                             51200, 1742.9090576171875, 211.24215698242188
7653, -821.9511127471924, 1, 4.372351644007722, 129, 573482,                                             51200, 1653.13037109375, 202.0487518310547
7654, -1831.9757843017578, 2, 5.8664338210073765, 173, 573655,                                             51200, 1584.5926513671875, 209.91552734375
7655, -1050.998496055603, 1, 5.999128840994672, 176, 573831,                                             51200, 1563.68798828125, 208.00132751464844
7656, -851.4715309143066, 2, 2.0094683909992455, 58, 573889,                                             51200, 1629.08544921875, 204.41421508789062
7657, -627.3943772315979, 1, 4.203857565007638, 123, 574012,                                             51200, 1783.7781982421875, 208.28323364257812
7658, -540.3943696022034, 1, 3.3982782069942914, 99, 574111,                                             51200, 1618.759033203125, 209.2756805419922
7659, -703.9057464599609, 1, 4.6602014410018455, 136, 574247,                                             51200, 1577.3465576171875, 204.76095581054688
7660, -632.0568323135376, 2, 1.2675514189904789, 36, 574283,                                             51200, 1576.8382568359375, 203.4282989501953
7661, -714.5300011634827, 1, 4.794375444995239, 141, 574424,                                             51200, 1632.174560546875, 202.0249481201172
7662, -1573.1416444778442, 2, 4.596223903994542, 134, 574558,                                             51200, 1758.188720703125, 204.6610870361328
7663, -480.36550283432007, 1, 3.498691171000246, 104, 574662,                                             51200, 1600.5662841796875, 201.86090087890625
7664, -2431.3961095809937, 1, 10.848087320991908, 319, 574981,                                             51200, 1611.0146484375, 206.33731079101562
7665, -464.7150249481201, 2, 0.6093888360046549, 18, 574999,                                             51200, 1569.4512939453125, 217.54925537109375
7666, -631.6719012260437, 1, 4.327621844000532, 126, 575125,                                             51200, 1586.038818359375, 209.55606079101562
7667, -754.4343137741089, 2, 1.4514147269946989, 42, 575167,                                             51200, 1765.7659912109375, 208.22438049316406
7668, -1215.1869072914124, 2, 4.521531246995437, 133, 575300,                                             51200, 1616.477783203125, 207.9658203125
7669, -627.6379480361938, 1, 4.196535744995344, 123, 575423,                                             51200, 1686.656005859375, 208.30853271484375
7670, -1669.3811683654785, 1, 8.595800600000075, 250, 575673,                                             51200, 1625.26953125, 211.4811553955078
7671, -932.1455669403076, 2, 2.2772160570020787, 67, 575740,                                             51200, 1567.86962890625, 200.5179901123047
7672, -668.1638169288635, 1, 4.361912555992603, 127, 575867,                                             51200, 1538.0308837890625, 210.62803649902344
7673, -574.7992939949036, 2, 1.338204796993523, 39, 575906,                                             51200, 1580.5340576171875, 209.08468627929688
7674, -664.4034824371338, 1, 4.94928372000868, 146, 576052,                                             51200, 1559.7093505859375, 213.04920959472656
7675, -505.04733657836914, 1, 3.6347797789931064, 106, 576158,                                             51200, 1821.0693359375, 206.85336303710938
7676, -778.3868827819824, 1, 4.702171131008072, 137, 576295,                                             51200, 1552.166748046875, 206.87042236328125
7677, -949.2052044868469, 2, 2.8403061749995686, 84, 576379,                                             51200, 1533.6351318359375, 213.7059783935547
7678, -1882.067142009735, 2, 7.077287154999794, 208, 576587,                                             51200, 1638.0692138671875, 209.05799865722656
7679, -473.7080101966858, 1, 3.6139419520040974, 105, 576692,                                             51200, 1691.045654296875, 209.61656188964844
7680, -1142.6149802207947, 1, 5.907245876005618, 173, 576865,                                             51200, 1594.317138671875, 210.58482360839844
7681, -1270.0590386390686, 2, 4.0871238600084325, 120, 576985,                                             51200, 1520.515625, 220.37657165527344
7682, -1364.2397379875183, 2, 4.8137425419990905, 141, 577126,                                             51200, 1553.5390625, 209.42535400390625
7683, -82.10300016403198, 1, 1.9975384610006586, 59, 577185,                                             51200, 1607.94677734375, 213.87901306152344
7684, -1027.8862442970276, 2, 3.231042448998778, 95, 577280,                                             51200, 1592.6297607421875, 210.3985595703125
7685, -589.0455255508423, 1, 4.060427270000218, 117, 577397,                                             51200, 1601.036865234375, 219.21832275390625
7686, -574.677716255188, 2, 1.1214662510028575, 32, 577429,                                             51200, 1625.7059326171875, 218.2442626953125
7687, -766.3164086341858, 1, 4.968654935000814, 146, 577575,                                             51200, 1654.2720947265625, 216.25180053710938
7688, -945.3956813812256, 2, 2.8843802779883845, 84, 577659,                                             51200, 1806.897705078125, 216.3232421875
7689, -655.0734338760376, 1, 4.25517075699463, 125, 577784,                                             51200, 1664.646728515625, 210.83595275878906
7690, -699.1468324661255, 2, 1.6128021600015927, 46, 577830,                                             51200, 1547.197021484375, 214.87777709960938
7691, -1535.4748544692993, 2, 5.898108030000003, 173, 578003,                                             51200, 1535.4434814453125, 212.90284729003906
7692, -1373.3105492591858, 1, 7.358134439011337, 216, 578219,                                             51200, 1469.037353515625, 218.5374755859375
7693, -756.3446884155273, 2, 1.3697092770016752, 40, 578259,                                             51200, 1532.9993896484375, 221.11215209960938
7694, -1085.5225048065186, 1, 5.849220753996633, 174, 578433,                                             51200, 1616.2198486328125, 222.05897521972656
7695, -778.8760662078857, 2, 1.4417140209989157, 41, 578474,                                             51200, 1682.9407958984375, 221.43942260742188
7696, -1804.8072724342346, 2, 7.289342696996755, 212, 578686,                                             51200, 1602.48583984375, 224.43661499023438
7697, -1424.071147441864, 1, 7.762218172007124, 226, 578912,                                             51200, 1618.9599609375, 222.96832275390625
7698, -744.9629249572754, 2, 1.3350402689975454, 39, 578951,                                             51200, 1494.789794921875, 221.7860107421875
7699, -1746.6648287773132, 2, 6.280776760992012, 186, 579137,                                             51200, 1691.7655029296875, 225.2886199951172
7700, -509.7231402397156, 1, 3.6307481820113026, 106, 579243,                                             51200, 1528.0794677734375, 221.14292907714844
7701, -2076.147633075714, 1, 11.536886831992888, 336, 579579,                                             51200, 1539.4580078125, 229.3355255126953
7702, -1765.7121262550354, 1, 8.89279853599146, 261, 579840,                                             51200, 1616.8389892578125, 229.74461364746094
7703, -580.5533237457275, 2, 0.9067470440058969, 26, 579866,                                             51200, 1545.124267578125, 215.80746459960938
7704, -1296.9882264137268, 2, 4.736699535991647, 139, 580005,                                             51200, 1518.14990234375, 226.1982421875
7705, -662.0302305221558, 1, 4.447803535993444, 129, 580134,                                             51200, 1585.0870361328125, 233.2925567626953
7706, -1132.6869297027588, 2, 3.4847494830028154, 102, 580236,                                             51200, 1479.6351318359375, 231.736572265625
7707, -636.3895072937012, 1, 4.497121873006108, 130, 580366,                                             51200, 1572.9195556640625, 230.8718719482422
7708, -994.8187155723572, 1, 5.269847450996167, 154, 580520,                                             51200, 1538.7034912109375, 228.78347778320312
7709, -820.5193090438843, 2, 1.8205273550120182, 53, 580573,                                             51200, 1519.6329345703125, 232.34866333007812
7710, -898.3764219284058, 1, 5.0975004240026465, 150, 580723,                                             51200, 1492.9259033203125, 240.61154174804688
7711, -674.1565828323364, 2, 1.2156198709999444, 35, 580758,                                             51200, 1608.310546875, 223.1337432861328
7712, -673.2547855377197, 1, 4.31141408100666, 126, 580884,                                             51200, 1607.87646484375, 230.44863891601562
7713, -459.94651222229004, 2, 0.6471303889993578, 18, 580902,                                             51200, 1530.7945556640625, 230.1700897216797
7714, -1098.2775411605835, 1, 6.256925483001396, 182, 581084,                                             51200, 1508.4295654296875, 235.49044799804688
7715, -676.666501045227, 2, 1.2766226230014581, 36, 581120,                                             51200, 1400.9287109375, 240.62779235839844
7716, -699.5082111358643, 1, 5.116117137004039, 148, 581268,                                             51200, 1506.4434814453125, 240.0189971923828
7717, -1074.9715027809143, 2, 3.3706766010000138, 99, 581367,                                             51200, 1503.30615234375, 236.34112548828125
7718, -130.7836880683899, 1, 2.3052001989999553, 68, 581435,                                             51200, 1465.2607421875, 233.31959533691406
7719, -670.297215461731, 2, 1.9382871340058045, 56, 581491,                                             51200, 1399.785888671875, 243.96987915039062
7720, -912.5063147544861, 1, 5.260408235000796, 153, 581644,                                             51200, 1567.7537841796875, 235.6561279296875
7721, -611.1233167648315, 2, 1.1419178329961142, 33, 581677,                                             51200, 1832.3282470703125, 228.15480041503906
7722, -139.1296968460083, 1, 2.4057475680019706, 70, 581747,                                             51200, 1465.9195556640625, 235.09671020507812
7723, -903.6718797683716, 2, 2.0538998400006676, 59, 581806,                                             51200, 1478.8194580078125, 234.7769775390625
7724, -498.6981363296509, 1, 3.7315524430014193, 109, 581915,                                             51200, 1418.59765625, 235.17893981933594
7725, -555.4680433273315, 1, 3.368711392991827, 99, 582014,                                             51200, 1544.9581298828125, 236.17112731933594
7726, -712.3108491897583, 2, 1.4672220710053807, 42, 582056,                                             51200, 1526.915771484375, 241.66969299316406
7727, -1978.818365097046, 2, 7.391224070001044, 215, 582271,                                             51200, 1511.0234375, 237.63787841796875
7728, -2120.300769329071, 2, 9.210945355996955, 269, 582540,                                             51200, 1585.5220947265625, 242.01307678222656
7729, -676.3185391426086, 1, 4.617257271005656, 134, 582674,                                             51200, 1528.292236328125, 244.8468475341797
7730, -2801.966015815735, 2, 12.714122781006154, 372, 583046,                                             51200, 1468.01513671875, 247.4673614501953
7731, -1858.8051862716675, 2, 7.421836645997246, 217, 583263,                                             51200, 1488.6595458984375, 248.93081665039062
