episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
4101, 309.44621229171753, 1, 1.8857356640000944, 82, 348687,                                             51200, 2426.39306640625, 117.7417221069336
4102, 455.63285541534424, 1, 0.9310693890001858, 46, 348733,                                             51200, 1414.682861328125, 106.65953063964844
4103, -732.03062915802, 2, 0.3416405500029214, 18, 348751,                                             51200, 1319.63623046875, 104.81668090820312
4104, 163.91392612457275, 1, 1.874966357005178, 99, 348850,                                             51200, 1414.2806396484375, 121.20211791992188
4105, -708.5548515319824, 2, 0.2582647300005192, 13, 348863,                                             51200, 1438.82763671875, 118.77555847167969
4106, 362.0781874656677, 1, 1.472345193993533, 79, 348942,                                             51200, 1477.667236328125, 118.40078735351562
4107, 193.9150743484497, 1, 1.3363245729997288, 75, 349017,                                             51200, 1593.24951171875, 110.38970184326172
4108, 393.30090141296387, 1, 1.3627453509980114, 77, 349094,                                             51200, 1558.1329345703125, 116.53175354003906
4109, -821.975414276123, 2, 0.4015854760000366, 22, 349116,                                             51200, 1611.5987548828125, 117.99995422363281
4110, 3.0804100036621094, 1, 2.0851782800018555, 114, 349230,                                             51200, 1597.087890625, 119.30403900146484
4111, -831.4978179931641, 2, 0.41826270999445114, 23, 349253,                                             51200, 1651.54296875, 120.94184875488281
4112, -17.648329734802246, 1, 2.1883446749998257, 117, 349370,                                             51200, 1636.3753662109375, 117.85482025146484
4113, -797.1752614974976, 2, 0.32701721399644157, 18, 349388,                                             51200, 1703.413818359375, 108.06803131103516
4114, 140.79761791229248, 1, 1.8199688299937407, 103, 349491,                                             51200, 1779.698974609375, 113.4927978515625
4115, -953.3959522247314, 2, 0.5866215690039098, 32, 349523,                                             51200, 1543.2841796875, 112.1041259765625
