episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7001, 54.93625068664551, 1, 8.133614924998255, 227, 1280228,                                             128000, 225.89010620117188, 71.47554016113281
7002, 43.4930419921875, 1, 7.929461327003082, 232, 1280460,                                             128000, 207.8312530517578, 69.45600128173828
7003, 43.16517519950867, 1, 7.857052372011822, 232, 1280692,                                             128000, 215.20497131347656, 69.35436248779297
7004, -391.6845154762268, 2, 5.421182803998818, 159, 1280851,                                             128000, 211.70018005371094, 69.07051849365234
7005, 37.592084646224976, 1, 7.91752432899375, 234, 1281085,                                             128000, 212.12220764160156, 69.14776611328125
7006, 43.66446876525879, 1, 7.838997537008254, 232, 1281317,                                             128000, 225.23434448242188, 68.94959259033203
7007, -466.7255473136902, 2, 6.477369311003713, 191, 1281508,                                             128000, 212.22970581054688, 70.66627502441406
7008, -274.57738184928894, 1, 12.271129248998477, 342, 1281850,                                             128000, 223.35548400878906, 69.68643951416016
7009, 96.43051338195801, 1, 7.6835182389913825, 212, 1282062,                                             128000, 224.2621612548828, 70.90586853027344
7010, 30.01504635810852, 1, 8.471840288009844, 235, 1282297,                                             128000, 213.1323699951172, 71.2776107788086
7011, -386.0215525627136, 2, 5.7743514120084, 157, 1282454,                                             128000, 216.7965087890625, 74.50959777832031
7012, -437.1803114414215, 2, 6.683403859002283, 182, 1282636,                                             128000, 211.70164489746094, 72.23271942138672
7013, 71.22846269607544, 1, 8.037161664993619, 220, 1282856,                                             128000, 215.5399169921875, 72.25128173828125
7014, 48.07697415351868, 1, 8.505276184994727, 229, 1283085,                                             128000, 222.81651306152344, 71.19841766357422
