episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 140.89404320716858, 1, 8.340818448999926, 193, 193,                                                 193, 120.75947570800781, 59.24468231201172
2, -474.56822991371155, 2, 10.911914516000252, 234, 427,                                                 427, 302.64288330078125, 123.42963409423828
3, 206.5152862071991, 1, 7.9078400260004855, 169, 596,                                                 596, 341.5943603515625, 103.89661407470703
4, 147.5398874282837, 1, 8.989714671000002, 191, 787,                                                 787, 342.060546875, 77.20751953125
5, -350.55517506599426, 2, 6.7967819199993755, 146, 933,                                                 933, 370.4493103027344, 69.5411376953125
6, 15.22878360748291, 1, 11.012490576000346, 236, 1169,                                                 1169, 354.8859558105469, 86.88154602050781
7, 159.53976583480835, 1, 8.664168359000541, 186, 1355,                                                 1355, 411.7961730957031, 86.08055114746094
8, 147.56985592842102, 1, 8.726577522999833, 189, 1544,                                                 1544, 427.29376220703125, 74.81852722167969
9, 133.74746441841125, 1, 8.939955020000525, 194, 1738,                                                 1738, 425.6031188964844, 67.96220397949219
10, 162.38792371749878, 1, 8.530095113999778, 184, 1922,                                                 1922, 422.93304443359375, 58.623600006103516
11, 95.48824310302734, 1, 9.602853166999921, 208, 2130,                                                 2130, 411.13812255859375, 50.82289123535156
12, 158.06003046035767, 1, 8.604398964999746, 186, 2316,                                                 2316, 475.68035888671875, 42.102420806884766
13, -455.9365177154541, 2, 10.626603881999472, 230, 2546,                                                 2546, 474.14447021484375, 37.98958969116211
14, -372.1099126338959, 2, 5.382850592999603, 113, 2659,                                                 2659, 484.4520263671875, 43.92262649536133
15, 207.2036292552948, 1, 7.988309400000617, 170, 2829,                                                 2829, 488.90509033203125, 46.33817672729492
16, 110.51201677322388, 1, 9.605393562000245, 203, 3032,                                                 3032, 506.5268249511719, 39.23735427856445
17, -45.38783884048462, 1, 12.407650959999955, 257, 3289,                                                 3289, 587.283203125, 37.15456771850586
18, 206.07269525527954, 1, 8.215172656000505, 170, 3459,                                                 3459, 602.91064453125, 37.94614791870117
19, 127.29317688941956, 1, 9.486832439999489, 198, 3657,                                                 3657, 642.7906494140625, 32.82257843017578
20, 213.57883548736572, 1, 7.911467050999818, 168, 3825,                                                 3825, 592.3224487304688, 28.92781639099121
21, 228.73428678512573, 1, 7.743744396000693, 161, 3986,                                                 3986, 662.7760620117188, 22.14604377746582
22, 158.21408581733704, 1, 9.118348561999483, 188, 4174,                                                 4174, 620.6771850585938, 24.751893997192383
23, 144.54483890533447, 1, 9.108168066999497, 192, 4366,                                                 4366, 619.6216430664062, 24.25103759765625
24, -320.15510988235474, 2, 6.615343598999971, 138, 4504,                                                 4504, 627.2247924804688, 24.79561996459961
25, 141.9423668384552, 1, 9.09485214399956, 192, 4696,                                                 4696, 634.7969360351562, 22.9909725189209
26, -293.0824999809265, 2, 6.012081635999493, 126, 4822,                                                 4822, 643.8947143554688, 21.800655364990234
27, 222.01776313781738, 1, 7.846342236000055, 164, 4986,                                                 4986, 715.7197265625, 25.166330337524414
28, -334.81371569633484, 2, 2.9830951670001014, 63, 5049,                                                 5049, 675.4749755859375, 26.449249267578125
29, 181.87139344215393, 1, 8.459396772999753, 178, 5227,                                                 5227, 701.80712890625, 29.690528869628906
30, 185.3736708164215, 1, 8.414539807999972, 177, 5404,                                                 5404, 749.2910766601562, 32.23509979248047
31, 196.72370791435242, 1, 8.133609956999862, 173, 5577,                                                 5577, 765.1455078125, 33.996219635009766
32, -527.5925886631012, 2, 10.280915743999685, 213, 5790,                                                 5790, 711.5303955078125, 33.82805252075195
33, 143.7123303413391, 1, 9.004836946000069, 192, 5982,                                                 5982, 739.28564453125, 45.59659957885742
34, 150.62867045402527, 1, 8.859254470999986, 188, 6170,                                                 6170, 715.6298828125, 41.87241744995117
35, -469.4707806110382, 2, 3.4476236430000426, 73, 6243,                                                 6243, 665.75244140625, 40.83123779296875
36, 185.9083957672119, 1, 8.293589924000116, 176, 6419,                                                 6419, 682.55322265625, 44.305294036865234
37, -953.9307317733765, 3, 19.504903328999717, 412, 6831,                                                 6831, 711.358154296875, 45.78907012939453
38, 99.1316032409668, 1, 9.759167209000225, 208, 7039,                                                 7039, 692.0022583007812, 51.20003128051758
39, 189.1560652256012, 1, 8.363764474000163, 176, 7215,                                                 7215, 698.0733032226562, 55.410770416259766
40, -248.37462067604065, 1, 16.89749404900067, 361, 7576,                                                 7576, 742.6477661132812, 56.032283782958984
41, 92.86248970031738, 1, 9.79141613199954, 210, 7786,                                                 7786, 756.6368408203125, 55.40606689453125
42, 176.02262616157532, 1, 8.478902687999835, 181, 7967,                                                 7967, 802.3204345703125, 56.40174865722656
43, 74.02795314788818, 1, 10.225759285000095, 220, 8187,                                                 8187, 809.1295166015625, 62.147178649902344
44, -353.02784490585327, 2, 6.971339828000055, 148, 8335,                                                 8335, 789.9924926757812, 58.97216796875
45, 184.34859228134155, 1, 8.263709660000131, 177, 8512,                                                 8512, 899.1282958984375, 62.503990173339844
